"","WT1_25_Slot2-5_1_3496","WT1_50_Slot2-9_1_3502","WT1_100_Slot2-4_1_3495","WT1_Veh_Slot2-2_1_3493","WT3_25_Slot2-6_1_3497","WT3_50_Slot2-10_1_3503","WT3_100_Slot2-11_1_3504","WT3_Veh_Slot2-13_1_3507","WT4_25_Slot2-14_1_3508","WT4_50_Slot2-7_1_3499","WT4_100_Slot2-16_1_3510","WT4_Veh_Slot2-12_1_3505","WT5_25_Slot2-8_1_3500","WT5_50_Slot2-17_1_3511","WT5_100_Slot2-3_1_3494","WT5_Veh_Slot2-15_1_3509"
"Mapk9",65129.909258643,72528.6758211266,70493.4931250006,71659.0022632953,71676.4024567746,73212.2938562182,76957.3223762773,63848.1498860323,67700.9740343067,77100.156339595,73144.9961075686,66123.2663182271,71829.4317957232,72659.8863944537,67313.4995275632,67537.4891878972
"Mapk12",32824.2286085013,31865.5466657711,21682.349169118,45096.0726311723,38144.7288559035,22203.2405594669,26927.4211087994,24931.9186822983,35231.9513968384,38050.7347597584,NA,37700.7448071115,29770.4575070185,25218.0624409621,31178.1559119189,32803.2742496338
"Ppp1r10",15102.4336493547,13922.6337708968,9782.26193593729,13717.0927556548,13568.42572479,13348.4963075462,12017.0772277652,13368.0119493863,13679.3640025958,17038.2309219817,12650.4484533459,13281.7968751131,14649.4944672489,14056.1794545311,10999.595212965,14086.9090046644
"Ap1b1",127219.748656122,109144.319020915,110419.52046602,132152.164073185,117643.41248859,111537.677479903,108742.153186464,112413.006969518,95686.6044429088,109496.077735119,109591.42288316,116272.064986621,108450.781841176,111631.425020355,113049.174993068,103213.540157532
"P2rx3",29838.9509359451,35804.4560447446,36245.9449865747,44612.7782357785,38945.1334722978,44577.3171804391,37726.2687779135,45136.6512308654,37330.0287542673,29472.6455921877,31695.7189052243,43704.6571334362,44242.0293238249,32588.5109503528,39203.6276435312,47037.1271042196
"Adgrg1",37211.4210887372,29071.2051726787,31498.3846233886,51747.1569260468,40035.4893467425,35284.991924069,28132.4156641568,47282.2976749563,41505.6557598792,31127.744564107,21773.4137350422,45205.3303747454,37128.9010983637,35060.0367655511,30838.1046318024,45730.0970404846
"Txndc9",25276.2254816844,27732.258179573,23251.1362194242,23586.7568550364,27011.8857833314,28508.4043386165,26740.6090446973,26010.7394261119,28019.7352009384,28733.8679221452,25758.0300876885,25115.0702481392,26382.0080392008,27453.9379301388,27187.3373228824,27768.8555884226
"Alcam",57083.6980936466,47081.1016782446,44910.1878024598,54703.5637040227,54470.9619720366,45806.9330805564,42593.7209772195,60686.3145285534,48766.1809502881,43806.6051404168,48702.7911198362,67876.5715925952,55313.6912466815,52055.7956658355,50142.8877294567,63322.4454956719
"Nfic",21253.9727119159,24453.4512296039,26254.8545583218,23666.0950787782,24905.0026331766,20834.2584442526,28921.8158581186,18212.7197602846,25868.5812907706,25167.5219078884,34636.4988245154,18863.6844573222,18389.9131525793,29055.5696002508,24228.804003767,27084.6249970985
"Fxyd6",13717.5232434718,11777.7545712485,9623.20388477313,11082.1553644869,10175.1483399486,11933.7558911391,9519.21508480154,6486.9824167521,7363.1741579293,9279.8928558903,16098.1210173859,13118.6449375219,12942.439215546,9646.45763379351,7436.75201817341,7186.37784430355
"Ndufs2",204313.245095555,211224.910478491,251710.098140187,177719.184383201,211713.970441728,208669.302328876,204335.705680415,187583.340757645,170762.186683959,181142.478908974,176957.318029235,175812.082034425,195871.369005628,181566.623364967,218662.014723148,171012.381934932
"Ache",31790.309014722,37429.5545920725,36173.2110143883,27674.0862304377,27365.9696418186,25142.3566863289,27416.0509515622,30914.6064237537,29218.0650363363,31765.7896006016,33828.0805335456,34866.7724319058,31132.9975914829,31137.3091761403,23690.07071988,37802.8423766498
"Jph4",11660.1378712736,11723.2169638453,13676.1558891177,10879.0203261477,11558.9010754597,13079.3576285598,15570.2824165359,11317.4901104103,18672.9027900853,13613.1837414801,14342.1299937195,10062.3951530898,10888.7154873569,14499.8695048257,14940.6069250098,9472.41620914995
"Wnk1",19667.6636238512,20086.7293179972,20431.9551539323,25506.5552067324,20843.82599629,21245.3199300537,20850.1275706297,21582.4944912672,21243.5476969574,22212.0867002752,19343.4211848101,22870.0164847098,20385.370390822,17405.8964399443,18918.6387934585,22930.1073219644
"Atp5f1a",3963881.69041817,4114836.61773143,4706663.05357382,3518670.242436,4047491.52362838,4213733.10099933,3797781.74241589,4006079.54002968,3766201.67263758,3770101.96525246,3589389.73803216,3466536.72273532,4322739.2445055,3839239.24284728,4468457.77676893,3393243.04905124
"Pus1",21540.4051504508,18504.8390462969,16681.701859878,24298.0814736308,21616.117316074,17807.2258006182,16933.7802318833,23967.3111348299,21524.5767170129,18924.2132976162,16291.3229580263,22572.9493293823,21301.8320804603,21170.0941140157,17681.7005686171,23954.3503511551
"Cnot2",12811.6937704711,14430.619255943,14294.0068870806,16677.8795651988,15676.4970961125,14835.4733662046,16547.0350944313,15262.3285028381,17351.8200228981,14231.0893150982,17262.9567140151,14212.1825911941,13482.5678338311,14440.899403616,16486.2310235495,14982.3092626377
"Ythdf1",87323.3887919551,78958.4501807091,71110.6035615829,76886.6603778126,85774.911582117,84259.1110228572,79034.857574459,81315.0802544121,82619.0854566661,82863.8017609108,92845.354155974,87952.9079853459,82965.3663453818,84460.6879415014,80005.7696768197,78703.9528207426
"Ythdf2",30811.5894875313,23126.5692409716,20873.8531304701,31609.6428824799,30125.7383617179,27436.6340100835,19930.2062539473,27035.1559544901,25009.6301604361,26281.8415885937,23798.7618650925,31158.6670390182,30359.5549504575,29052.532247524,22435.1303993034,33621.9949610592
"Lrrc47",77071.9882724016,73100.6892569055,64098.4870665642,80228.3557133429,76341.2607555557,80387.9713323489,71736.8505600964,77613.1306390586,68048.691628648,73259.1596691449,71564.4183260672,78064.9967713964,71916.75118372,73493.4981099064,68049.000598024,74313.9182185041
"Mthfd2l",96450.0161495123,112189.296479842,130740.65900432,54285.5999996065,NA,87009.5999993692,61070.2999995575,59103.7999995715,NA,89561.5003018624,101658.55232851,88097.0659909817,167932.999998783,NA,211052.230903894,86085.8999993762
"Fos",23529.4590626248,22739.4616560158,20043.4884239071,2984.63999998743,15266.0360960351,20731.9307838873,19399.5984048936,NA,13328.0077110461,21497.7163926991,20664.58826152,3614.52110534211,15466.322795445,18913.5032423031,17566.6715404874,2557.18999998923
"Shc2",7252.09500110441,6769.07493141695,7024.02997173495,8816.89087678529,7204.98408375055,7707.2588846884,7226.00459003259,6619.85786853342,7706.27347323722,6863.83712676533,6486.29585549769,7186.34424638768,7879.58668076012,7063.7218443614,NA,7239.21557026512
"Xpnpep3",35216.1434403796,36807.8162762338,36440.6066172043,39662.9068439035,39452.719937968,34968.3400914206,37382.5016006003,42156.0809753663,38135.8182180246,39962.9345824156,32602.0261595485,37754.6083543083,34896.0935351744,39546.5373115761,37725.9789837816,38141.8113495624
"Myo10",7905.52020948212,8235.66041902076,6317.35774094262,16027.8835534662,8352.40589537332,6925.29057257064,7650.7285831824,13367.6546325005,10803.6974412777,7644.36765889623,7521.82380267517,16100.1663261128,9879.34140222081,7681.91071437527,5878.46655559685,17949.5458616157
"Alg2",207194.292919745,220193.167280033,238766.237256235,180556.517011925,214204.236367698,206319.788145175,228199.097575443,160916.80072322,175282.900682118,181749.441386377,215699.752298063,186156.629174597,206898.281057465,225705.543039314,260209.993182325,162703.25560103
"Nck1",20011.9233618602,17750.2625299711,14600.769845049,15078.3998624578,17542.0970986157,19278.9929121831,17008.0016576994,15788.9892769772,18911.1663087789,20550.7074741513,19984.2944365092,17862.6250659694,18818.8787676741,16300.9684224189,15610.3917552728,20747.8216270527
"Ddx5",219978.975768896,192405.192778391,165282.794969276,260203.909580707,205648.987513916,196827.396673849,169155.288964668,246606.655227459,205092.118576809,189997.360796427,170782.841868188,289739.400530961,221606.467369372,195611.68895136,172023.907145204,258927.35644123
