"","GeneID","explant.logFC","explant.AveExpr","explant.t","explant.P.Value","explant.adj.P.Val","explant.B","yang.logFC","yang.AveExpr","yang.adj.P.Val"
"60","Dnaja4",0.239965687777081,14.9539611392182,4.08323727070204,0.000989348531166846,0.00599210693318357,-1.31345394524475,0.3127814875,20.92567028,0.02190484325
"61","Dnajb4",0.257439839742453,16.3035348523649,3.49720600419095,0.00326573712595587,0.0149597548079824,-2.50771082878159,0.2758894638,21.60884346,0.04688083793
"62","Dock9",-0.250228659292105,15.2536482787601,-3.26732335270847,0.0052275063243245,0.0215191927009456,-2.97300429051038,0.4209306562,20.17293012,0.03660244466
"63","Dop1b",-0.276549854643878,14.8985000082209,-4.49158011451495,0.000436117482916003,0.00316664654182318,-0.486216449866736,0.4716321366,19.15759379,0.03340644008
"64","Drp2",0.545429810617922,17.5917619153539,4.95039720398274,0.000177193054633374,0.00160212053564342,0.428666772118585,0.5503715167,23.38119416,0.007265503522
"65","Edc4",0.288446747092582,16.1612647816568,4.88409652895174,0.000201526904738041,0.00176133123300969,0.297675150290152,-0.3042005645,20.0719677,0.03144433363
"66","Eef1e1",0.651506112769905,16.6595545211604,4.99600465663577,0.000162231608192244,0.00150079057761278,0.518511326083051,-0.3693341154,20.81011842,0.04273156118
"67","Eef2",-0.67300298139088,19.5461354059479,-7.47067306188134,2.04769918166464e-06,5.1327641203772e-05,4.99730844006999,-0.19030232,24.41338932,0.04148137568
"68","Eif2a",-0.26577291362225,16.137095369423,-3.91118073039539,0.00140249450548652,0.0077412396578271,-1.66408235751739,-0.2501721951,21.3648754,0.0402257588
"69","Eif4g3",0.331484332044646,16.102742072143,4.42649250135853,0.00049644976950272,0.00348318193998518,-0.617413320699379,-0.482859535,19.75002927,0.02708993428
"70","Elavl1",-0.204926603353421,17.001593176171,-2.91259505123381,0.010766228718483,0.0372865969525209,-3.67982431523943,-0.3339011135,22.51847163,0.01088585432
"71","Elavl2",0.51215756723515,17.8890922518377,6.79968790151209,6.17205754676528e-06,0.000121128622913908,3.86489999000309,-0.6242187777,22.87019381,0.01470795072
"72","Elavl4",0.683835928295526,17.6169245855549,6.70284684499047,7.27374888838582e-06,0.000136405241499482,3.69634018893153,-0.5556476014,22.17833442,0.02708993428
"73","Emc2",0.348351145268303,17.5095801911812,4.48363512307104,0.000443060213921711,0.00319870943415912,-0.502214976429059,-0.3014589017,20.33103107,0.01847352931
"74","Eno1",-0.672694784686577,21.14290580057,-5.60320223064649,5.13965842025717e-05,0.000617653571231854,1.69213340675514,-0.317785761,25.89784324,0.04055983558
"75","Entpd2",0.552415562062293,19.177985793522,2.89935448211142,0.0110586993201269,0.0380232640176871,-3.70583355978691,0.3697944266,24.37803968,0.04786320791
"76","Epdr1",0.370107681685894,21.3384707208835,3.1097203885197,0.00721221370103105,0.0274983750297846,-3.28915598584375,-0.5277305482,24.192219,0.01758786335
"77","Ephx1",0.474799395231003,18.5882455285653,5.79861329682614,3.58733131636122e-05,0.000467337587440197,2.06016192871528,0.6326817588,22.24142711,0.00102260587
"78","Ewsr1",-0.381071892800112,17.2656826145901,-3.47862831683788,0.00339231410902715,0.0153818660645141,-2.54544706222011,-0.5149222971,20.45230824,0.01605956698
"79","Extl2",0.40609842728287,18.2559863564391,5.05591622030043,0.000144535665094969,0.00137603624523392,0.636199288912803,-0.9085862941,19.60563068,0.01993013278
"80","Ezr",-0.959805528572559,17.0896739952094,-11.2088568774574,1.15669765548205e-08,1.02152542946351e-06,10.2808629083381,-0.352226166,21.25240772,0.0116155613
"81","F2",0.719435019968277,17.7424441724047,6.32635030105842,1.39433925325876e-05,0.000221548255826366,3.0286845691548,0.4496897738,22.34558333,0.005922381626
"82","Fabp7",0.445600164451882,20.7743997991766,4.06793589749933,0.00102045351378215,0.00612867168680736,-1.34460517908668,-0.7910822145,24.15759878,0.003882545595
"83","Fermt3",0.379965984969195,14.4967312864264,3.57946508966077,0.00275978101080725,0.0131003354856757,-2.34041773549445,-2.822668912,19.72483199,0.0003293582078
"84","Flna",-0.492582761822398,17.9051643198235,-6.17843106065054,1.81017461738895e-05,0.000273870044204563,2.76102789442277,-0.3189656871,23.66944061,0.03548474102
"85","Fmnl1",0.39606173709404,14.6444501446397,4.6514800417107,0.000317795899737066,0.00248318915483849,-0.16526785814883,-0.5305158388,20.24676255,0.02797717025
