"","gs","gene","symbol"
"ENSMUSG00000027193","C-LTMR","ENSMUSG00000027193","Api5"
"ENSMUSG00000032679","C-LTMR","ENSMUSG00000032679","Cd59a"
"ENSMUSG00000027173","C-LTMR","ENSMUSG00000027173","Depdc7"
"ENSMUSG00000005973","C-LTMR","ENSMUSG00000005973","Rcn1"
"ENSMUSG00000016386","C-LTMR","ENSMUSG00000016386","Mpped2"
"ENSMUSG00000027347","C-LTMR","ENSMUSG00000027347","Rasgrp1"
"ENSMUSG00000040152","C-LTMR","ENSMUSG00000040152","Thbs1"
"ENSMUSG00000040133","C-LTMR","ENSMUSG00000040133","Gpr176"
"ENSMUSG00000005102","C-LTMR","ENSMUSG00000005102","Eif2ak4"
"ENSMUSG00000040035","C-LTMR","ENSMUSG00000040035","Disp2"
"ENSMUSG00000034154","C-LTMR","ENSMUSG00000034154","Ino80"
"ENSMUSG00000027272","C-LTMR","ENSMUSG00000027272","Ubr1"
"ENSMUSG00000053675","C-LTMR","ENSMUSG00000053675","Tgm5"
"ENSMUSG00000043909","C-LTMR","ENSMUSG00000043909","Trp53bp1"
"ENSMUSG00000027248","C-LTMR","ENSMUSG00000027248","Pdia3"
"ENSMUSG00000005802","C-LTMR","ENSMUSG00000005802","Slc30a4"
"ENSMUSG00000027208","C-LTMR","ENSMUSG00000027208","Fgf7"
"ENSMUSG00000027360","C-LTMR","ENSMUSG00000027360","Hdc"
"ENSMUSG00000027422","C-LTMR","ENSMUSG00000027422","Rrbp1"
"ENSMUSG00000001767","C-LTMR","ENSMUSG00000001767","Crnkl1"
"ENSMUSG00000068154","C-LTMR","ENSMUSG00000068154","Insm1"
"ENSMUSG00000027433","C-LTMR","ENSMUSG00000027433","Xrn2"
"ENSMUSG00000086509","C-LTMR","ENSMUSG00000086509","Nkx2-2os"
"ENSMUSG00000084371","C-LTMR","ENSMUSG00000084371","Gm14113"
"ENSMUSG00000037754","C-LTMR","ENSMUSG00000037754","Ppp1r16b"
"ENSMUSG00000017723","C-LTMR","ENSMUSG00000017723","Wfdc2"
"ENSMUSG00000017733","C-LTMR","ENSMUSG00000017733","Eppin"
"ENSMUSG00000086453","C-LTMR","ENSMUSG00000086453","Gm11457"
"ENSMUSG00000085274","C-LTMR","ENSMUSG00000085274","BC046401"
"ENSMUSG00000039059","C-LTMR","ENSMUSG00000039059","Hrh3"
"ENSMUSG00000027577","C-LTMR","ENSMUSG00000027577","Chrna4"
"ENSMUSG00000038685","C-LTMR","ENSMUSG00000038685","Rtel1"
"ENSMUSG00000027583","C-LTMR","ENSMUSG00000027583","Zbtb46"
"ENSMUSG00000062393","C-LTMR","ENSMUSG00000062393","Dgkk"
"ENSMUSG00000031146","C-LTMR","ENSMUSG00000031146","Plp2"
"ENSMUSG00000031148","C-LTMR","ENSMUSG00000031148","Gpkow"
"ENSMUSG00000031153","C-LTMR","ENSMUSG00000031153","Gripap1"
"ENSMUSG00000080645","C-LTMR","ENSMUSG00000080645","Mir1198"
"ENSMUSG00000087586","C-LTMR","ENSMUSG00000087586","Gm6938"
"ENSMUSG00000048970","C-LTMR","ENSMUSG00000048970","C1galt1c1"
"ENSMUSG00000025860","C-LTMR","ENSMUSG00000025860","Xiap"
"ENSMUSG00000025862","C-LTMR","ENSMUSG00000025862","Stag2"
"ENSMUSG00000051209","C-LTMR","ENSMUSG00000051209","Gpr119"
"ENSMUSG00000023074","C-LTMR","ENSMUSG00000023074","Mospd1"
"ENSMUSG00000086676","C-LTMR","ENSMUSG00000086676","Gm14705"
"ENSMUSG00000031189","C-LTMR","ENSMUSG00000031189","Aff2"
"ENSMUSG00000033361","C-LTMR","ENSMUSG00000033361","Prrg3"
"ENSMUSG00000031344","C-LTMR","ENSMUSG00000031344","Gabrq"
"ENSMUSG00000031365","C-LTMR","ENSMUSG00000031365","Zfp275"
"ENSMUSG00000031398","C-LTMR","ENSMUSG00000031398","Plxna3"
"ENSMUSG00000079509","C-LTMR","ENSMUSG00000079509","Zfx"
"ENSMUSG00000035062","C-LTMR","ENSMUSG00000035062","Zc4h2"
"ENSMUSG00000034457","C-LTMR","ENSMUSG00000034457","Eda2r"
"ENSMUSG00000031217","C-LTMR","ENSMUSG00000031217","Efnb1"
