"","X881_dLSC_f1_5.27.2024.d","X882_dLSC_m1_5.27.2024.d","X883_dLSC_m2_5.27.2024.d","X884_dLSC_f3_5.27.2024.d","X885_dLSC_f2_5.27.2024.d","X886_dLSC_m3_5.27.2024.d","X889_LDRG_898_5.28.2024.d","X890_LDRG_1248_5.28.2024.d","X891_LDRG_1095_5.28.2024.d","X892_LDRG_1236_5.28.2024.d","X893_LDRG_1094_5.28.2024.d","X894_LDRG_1249_5.28.2024.d","X896_paw_pool_5.28.2024.d","X897_paw_f_5.28.2024.d","X898_paw_m_5.28.2024.d","X901_SCN_IIa2_5.28.2024.d","X902_SCN_IIa3_5.28.2024.d","X903_SCN_IIb2_5.28.2024.d","X904_SCN_IIb3_5.28.2024.d","X905_SCN_IIa4_5.28.2024.d","X906_SCN_IIb1_5.28.2024.d","GeneID"
"Anxa11;Anxa7",NA,NA,NA,NA,NA,NA,16.571017838367,NA,NA,NA,14.5790801838348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anxa11;Anxa7"
"Anxa2",19.6725727842847,19.9783135340739,19.9948754022221,19.6966170185213,19.6090407588941,20.0622482750442,21.7620460700821,21.5715665841188,21.6329994091436,21.5701818036113,21.6648200384259,21.5883418041286,22.024253898475,21.8927265298919,22.0116728608513,22.0196745503225,21.9876368050591,22.0359172094972,22.0536824829518,22.1100381762594,22.0397035361952,"Anxa2"
"Anxa3",16.6319917513331,16.657490627528,16.562969087818,16.6276302494871,16.6564740709988,16.6839173906336,18.1297713921111,17.7275581390214,18.0025062039873,17.6863795668678,17.8823523719285,17.9979852465972,16.7312232822245,16.4066926179848,16.6584920852022,19.4108220567803,19.6557118291867,19.6585936262181,19.651994247442,19.5737507837392,19.5549670675834,"Anxa3"
"Anxa4",15.8437396220103,15.8353575098776,15.7836294540653,15.5722996998754,15.6677053160172,15.8392713997997,18.0473126739563,17.5579721758951,17.7796324160172,17.7641856040556,17.9900799215105,17.8958064352707,18.6747533920193,18.6895868717363,18.570087551334,18.573124983929,18.7620549067834,18.7523701663939,18.7671153148566,18.6747376406569,18.7976626988662,"Anxa4"
"Anxa4;Anxa6",18.8961490749983,18.7032885346867,18.9193289081869,18.8853448547016,18.9372329969769,18.6921352952718,18.4591073792727,19.0920886703147,19.8092751320533,19.517763566795,19.3673912874669,19.1149140627807,18.286566785643,18.2041316972175,18.0785000534724,16.6827477511439,16.583109218237,16.8692323531135,16.6106211736647,17.1113802293607,17.2266944119697,"Anxa4;Anxa6"
"Anxa5",20.5900347986718,20.6697657563463,20.6374407234439,20.6513371411324,20.6266330089175,20.7508545547612,21.7368296559768,21.5158531215893,21.4065254349131,21.5466666301262,21.5415990793145,21.6844407160632,20.8021808678689,20.8163491557847,20.7731193284671,21.3782583933553,21.5093418424466,21.5735659410708,21.6221620303057,21.4461166047772,21.5857620227715,"Anxa5"
"Anxa6",19.5267718162677,19.5501645992795,19.483179938253,19.590441283945,19.4912100608726,19.5973546123649,20.3982291099129,19.9171953559653,19.9321227549611,19.9452300491483,20.2564736123296,20.0796366473102,18.569926672807,18.5645510346686,18.5338571832333,20.2830947936125,20.4358134460744,20.3323790157483,20.5304710413345,20.4080810636074,20.4527074215376,"Anxa6"
"Anxa7",17.4735637748979,17.6893349555209,17.4196594742542,17.3171400157436,17.3183268888523,17.5959598913149,18.1415712081507,18.261718495869,17.9553960032541,18.2519516969841,18.194915698311,18.2981789243601,18.6848673204272,18.6163031885283,18.5513542635139,17.9439860275908,18.0044176600869,17.9847062258634,18.0010853085143,17.9791832470685,18.1200958408798,"Anxa7"
"Anxa8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.787468241088,19.5484902878355,19.8538678000661,13.0139255871486,12.6508507958144,12.459869894915,12.2276856904384,12.9411752526035,12.4822827002143,"Anxa8"
"Anxa9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5707731131885,15.5859259647971,15.6474897725767,NA,NA,NA,NA,NA,NA,"Anxa9"
"Aoc3",11.7259239102394,12.1607729414845,11.9970278336495,12.3530377068051,11.8507027839506,12.3216461455664,15.561245653995,15.4132379487187,15.8172841095259,15.1344716672544,16.1345176249103,15.3737147663852,16.704051211305,16.7240366955093,16.6466842303563,17.0756642169062,17.268512274014,16.7312539040733,17.18870353355,17.0003200756619,17.0564090681425,"Aoc3"
