"","Gene","Condition","Type"
"349","Septin2","Ox","B"
"350","Marcks","Ox","B"
"351","Snx1","Ox","B"
"352","Nf2","Ox","B"
"353","Ythdf3","Ox","B"
"354","Mon2","Ox","B"
"355","Eif4a1","Ox","B"
"356","Cav2","Ox","B"
"357","Dlat","Ox","B"
"358","Oat","Ox","B"
"359","Rcc2","Ox","B"
"360","Atp2b4","Ox","B"
"361","Nr3c1","Ox","B"
"362","Ddhd1","Ox","B"
"363","Mbd2","Ox","B"
"364","Cr1l","Ox","B"
"365","Bcat2","Ox","B"
"366","Git1","Ox","B"
"367","Cpt1a","Ox","B"
"368","Arl15","Ox","B"
"369","Champ1","Ox","B"
"370","Rpl12","Ox","B"
"371","Hibadh","Ox","B"
"372","Cat","Ox","B"
"373","Epdr1","Ox","B"
"374","Ldhb","Ox","B"
"375","Plpp3","Ox","B"
"376","Srsf2","Ox","B"
"377","Safb2","Ox","B"
"378","Slc16a1","Ox","B"
"379","Tbc1d10a","Ox","B"
"380","Col1a2","Ox","B"
"381","Prph","V","B"
"382","Akap12","V","B"
"383","Eps15l1","V","B"
"384","Rtn4","V","B"
"385","Map6","V","B"
"386","Cend1","V","B"
"387","Tardbp","V","B"
"388","Synm","V","B"
"389","TurboID","V","B"
"390","Tppp3","V","B"
"391","Rtn1","V","B"
"392","Map1a","V","B"
"393","Mapt","V","B"
"394","Map1b","V","B"
"395","Anxa6","V","B"
"396","Nefh","V","B"
"397","Hnrnpk","V","B"
"398","Copz1","V","B"
"399","Cct8","V","B"
"400","Fus","V","B"
"401","Psmc3","V","B"
"402","Eif4b","V","B"
"403","Avil","V","B"
"404","Epb41l3","V","B"
"405","Ran","V","B"
"406","Pcbp1","V","B"
"407","Tpd52l2","V","B"
"408","Map2","V","B"
"409","Atp5f1b","V","B"
"410","Sart3","V","B"
"411","Rpl14","V","B"
"412","Myh9","V","B"
"413","Map4","V","B"
"414","Clic1","V","B"
"415","Atp5f1a","V","B"
"416","Nefm","V","B"
"417","Efhd2","V","B"
"418","Clasp2","V","B"
"419","Add1","V","B"
"420","Spag9","V","B"
"421","Vwa5a","V","B"
"422","Nacad","V","B"
"423","Crip2","V","B"
"424","Sf3b1","V","B"
"425","Mtdh","V","B"
"426","Sec22b","V","B"
