"","Ox_f_T_Slot2-16_1_3811","Ox_m_T1_Slot2-13_1_3813","Ox_m_T2_Slot2-14_1_3820","Ox_m_T3_Slot2-15_1_3816"
"Ubap1",43792.3107951296,43077.8990187926,40996.1072206197,35323.9788609249
"Ptpn1",58343.5436917222,53880.6889981771,52899.0745000619,59033.2787382554
"Fubp1",142220.244705614,132499.319627781,141868.951646145,145163.692922705
"Dtna",49471.323634509,52280.5076533661,59093.5215460099,68404.8959830067
"Eif3k",10307.4,11551.5,11182.1,13464.3
"Coro2a",40765.5088519451,42126.3307169099,46697.7127699733,46561.8454967823
"Camk2d",62510.2104933785,60910.4765165769,65949.5107465266,64030.1183219006
"Tpd52l2",865960.556978143,839134.213465009,903633.130264231,711249.514209087
"Gamt",5880.06976049869,7829.80731749208,7052.66443908717,8824.89822056194
"Slc9a9",30426.0999997298,35614.4951734515,32025.0080732728,34039.1869370663
"Gspt1",70918.1421872715,68267.6360183575,68437.4867523248,71800.4484838336
"Trim2",14908.1665988202,17293.8285894046,13674.5354111522,16014.2934322518
"Ankfy1",11702.3784487095,8631.49360004307,9751.45373987596,10264.3910475763
"Crlf3",18178.6999998945,NA,14159.2999999178,8668.74999994967
"Arcn1",98767.818904782,98817.8830844756,96557.9308961772,107204.995322793
"Ndufs8",16793.2,12066.1,13867.4,15791.8
"Hnrnpa1;Hnrnpa3",794318.946330061,1001538.75673211,1113190.25759573,993807.162173112
"Eif3l",66824.3591774369,68518.7984160703,75243.8186216308,64817.5528018731
"Gsn",18018.6916973088,18799.6215936106,19068.4990328889,21837.6926417606
"Naa80",6869.27000000001,6217.11,5541.92,6670.9
"Rnaseh1",12042.5,11755.2,9450.89,17695.3
"Ebag9",24338.476700106,25707.792106911,28706.4450890488,26139.0681903923
"Hmga1",36391.8376423169,29115.2308874859,20501.3641945678,33944.780694737
"Myh14",47738.1257526739,35940.8186008578,47194.7069575669,44526.9791039395
"Slc7a14",14962.6743631558,14798.128522573,14668.6201354286,16096.8237242614
"Sncb",353247.314719712,384342.444214234,609507.085209763,412881.66173764
"Otud6b",16235.0547961798,18918.000225054,17529.885919817,16689.9539689325
"Hspbp1",13501.1459611875,23734.817958276,24779.1480421262,22555.6320295533
"Ppp1r2",897842.543778396,1293564.96728123,1649371.66273996,1374340.09569981
"Calr",22287.2759120668,17360.9408416057,13659.9511013847,19572.4370619716
"Epb41;Epb41l3",NA,NA,264810,219605
"Snapin",38404.6516827429,32168.2395183906,29195.6994796358,24316.0232627886
"Rab33a",7291.48999999999,NA,NA,NA
"Mxra7",16072.5298497719,10771.4891954566,17321.6507805227,11571.3688102663
"Nudt16",13487.0606313152,17867.4063328798,10683.4404699514,11230.8217645572
"Ina;Nefm",1505670,1776960,1785490,1846570
"Isl2",21139.5480971409,22155.1917278473,23309.0238449325,22033.4293584203
"Set",287488.650072548,266915.827350855,265394.507424779,246157.246065697
"Snca",164089.689693171,178571.176755339,192748.466374208,154638.703543877
"Ctsb",17345.8,13667,12445.6,14558.3
"Ube3a",26795.8478856657,22630.719246453,22987.8930853959,22426.5915922272
"Sfr1",49817.700828895,52372.470724673,49952.229972783,41242.7314912317
"Rprd2",14598.1394571753,10677.9269959076,8540.50614037784,9514.87036230408
"Sephs1",18076.1406644723,12807.8386194336,15551.4696556887,18872.7243287328
"Xrn1",24431.4020497392,19770.5239528779,21466.3629922355,29872.443985203
"Jmy",26832.8,28016.2,29504.3,23618.3
"Ahcyl1;Ahcyl2",72850.45928352,78456.6425594161,94728.2184471216,85667.2534338474
"Wdcp",NA,11591.5,NA,11331.9
"IntS13",11643.4140656694,10939.3070008921,9731.28991014417,10541.2550387881
"Wdr24",24421.3771603897,16473.3871419055,20750.5271816966,19841.1031268557
"Ppp1r3f",13349.6348832201,19696.5798380215,18555.1702799436,15407.1740192482
"Aff4",16570.1456524859,12337.5275970163,13198.6606401047,10534.300305649
"Tnpo1",13613.0999998875,13888.1777208494,12636.846379279,17111.4137124446
"Rab3a",124354.557787507,144350.312380316,138688.139634591,132416.404494046
"Camk2b",20467.7648928087,22747.7111907135,21833.275697272,26158.0185010544
"Wwp2",NA,6811.26,7348.46,8058.28999999999
"Pcbp1;Pcbp2;Pcbp3",551811.351090558,558826.503771473,625356.330400451,633932.249364588
"Smpx",5478.7,3102.76,2776.58,4552.51
"Stard10",22002.3797825502,20842.8376253682,19235.6640574176,19559.7548591343
"Ociad1",75954.5579807052,85422.2218030312,115424.147001398,97309.3405870864
"Nf2",21156.8873035609,28601.6742913014,34121.1619443684,20737.5415340501
"Cracd",NA,2627.29,3436.96,NA
"Bclaf1",44488.6622553993,45868.5999995791,44299.9520385667,45674.1206741918
"Plcb1",23202.9065214821,25168.5099163725,24411.7714573228,23613.6429025925
"Coprs",193292.653341908,206777.782024621,220009.583490646,188744.729083442
"Slc38a1",14584.5581843937,17184.9958375201,20002.4390651215,22548.9106978258
"Aamdc",10638.2373944735,14583.4906146021,19332.0638839553,11997.9092103525
"Znf207",43397.2367093002,53683.5169019019,49658.310279373,50996.1592689568
"Slc17a6",55953.3466806233,61187.4017020715,63947.1995898953,62011.6236673088
"Tmsb10;Tmsb4x",2610620,1864050,1888780,1458710
"Tmsb10",NA,69318.9999999999,85353.6000000001,34809.6
"Usp16",14271.8374620747,14273.4471780661,11120.9642092613,11574.5381962009
"Commd9",16918.3335907981,15850.2649128694,16960.0414151145,16135.5578803912
"Lzic",80899.9783134289,64823.0898383193,64444.6277616666,67197.4999993559
"Iqsec1",12645.4632014635,13551.501340083,16729.0130265864,14581.4188222367
"Fkbp15",64892.6352737142,69012.8524949141,67644.9938958175,60813.4081641885
"Abhd12",86640.5249717694,76345.5447741939,70462.3468570014,80281.5359929684
"Vezt",17385.5311280717,27087.2450412836,23365.9616302486,22881.737673672
"Tex264",49553.0599062143,34781.9305649393,48297.8467973148,39354.7743548837
"Ndufaf2",35216.2999996779,41259.4999996227,40150.9999996328,45831.0999995808
"Actn4",13288.8172180429,12992.1991782051,10743.0398488005,12334.6565804635
"Abcf2",59734.4840274109,72615.961388252,71954.2422769513,75567.6809443831
"Slc1a4",16290.0728656613,14126.086893135,13749.1791341944,13956.2747343506
"Snx4",33342.8372061204,35296.1089030972,28705.0798123333,23040.7939213457
"Prkcsh",11768.0570274629,7791.45955214916,9873.25440535879,13806.9942965743
"Lama2",10693.5837903537,9239.93098323371,7868.8454426883,9420.17622318513
"Ccdc85a",15789.074372281,17698.6162460349,15449.2285208439,11907.8538724681
"Tars3",28209.8,28101,29983.6,38920.1
"Acox1",15155.9931216729,18721.632732569,14009.755647253,17572.1763343131
"Nudt3",52551.3320495929,47777.3595518297,47155.0991362576,45908.8425679834
"Rpl36",28227.9905725109,26166.4145442944,27425.1251669055,21250.7609263721
"Frg1",7700.87000000001,11829.8,5759.66,7305.23000000001
"Tubb3",319583.870597323,296516.818958102,342223.36980959,283713.010046343
"Tubb2a;Tubb4b;Tubb5",76136.9098610462,75193.7794324002,93427.1367498579,70797.1984361871
"Tubb4a",NA,17432.973458725,17451.0665213821,24684.0183787996
"Dnm1",26877.3260967915,29173.6238744902,27633.4370993175,30306.366468619
"Cert1",NA,16850,22049.9,16808.4
"Mfsd6",19640.8364200677,17541.1167181317,17640.6671859694,16915.9632091887
"Azi2",12270,11565.6,10817,10612.2
"Dcp2",14936.1774283958,15916.6767005918,15566.1482424172,15358.9212881008
"Appl1",28698.1073231758,28955.047372037,28261.3737415147,31319.2058711533
"Myef2",61179.5910936113,63036.9413439526,63377.5887677229,67615.319478399
"Pcbp1;Pcbp2;Pcbp3;Pcbp4",19069.7,NA,29321.3,31429.2
"Metap1",37571.541402987,43814.5774263457,40354.5925763932,41067.6678375348
"Diaph2",12594.1,NA,NA,NA
"Mrps27",NA,6817.18,4890.58,6352.04
"Trappc4",NA,8577.20999999999,NA,8549.51999999999
"Fdps",29438.1964946939,32315.7592326165,28582.4566762539,36367.6473078834
"Pfdn2",146384.295777384,167201.586189147,174765.256977916,136417.677774867
"Kif5a;Kif5b;Kif5c",260026.24738099,323850.849974901,389564.414447297,403832.501170501
"Dhdh",19658.5212469842,24895.5151919586,23929.3589450832,27520.7377516032
"Rgs4",13561.5190915354,16081.0214693908,13890.918153365,15878.518004674
"Otud3",15400.2,12207.2,16713.5,12339.4
"Uri1",8603.5,NA,NA,NA
"Nemf",9309.94999992646,11791.6676655034,10039.2783265866,9276.72536323748
"Eef1a2",342718.367362559,374758.786901968,394839.301471335,329223.652778765
