"","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819"
"Ruvbl1",66961.37169843,65778.7437601674,66674.8279508972,65174.945777597
"Kiaa1109",11765.5,10741,6716.49,13242.8
"Golga3",54830.7797935422,47250.343172005,59053.3610078129,51866.3263952222
"Sart3",190474.095375899,201539.13375016,186090.083095334,201420.83496936
"Cacnb1;Cacnb4",21863.9480284636,19871.6945963491,21456.4845467547,20568.5089339692
"Rps6kc1",20650.6650932318,25939.7913854592,24671.9386665777,28083.3855410256
"Prpf4",17435.4405552558,18480.2747211966,16599.9333415583,20475.2487150785
"Fkbp5",59364.1587430424,58811.0864301454,62623.0168603298,51626.1212927168
"Myo6",81588.5058431252,83112.052553985,76905.5816256589,59452.9973637481
"Myl6;Myl6b",29974.4,27573.2,26131.8,34880.6
"Slk",71590.6093081925,75819.1567846467,83550.7907582258,67701.154985793
"Ubr4",17842.4154821076,19138.1827596997,20045.6487692161,18246.0693228127
"Cct4",21047.0029341091,20663.4224040359,27432.5589099575,24955.4401881728
"Lypla2",422471.143347765,608277.733887324,418524.788837046,419757.243587945
"Abi1",42287.3373741338,47822.0066282252,32321.7506375449,43659.5424448465
"Ddx1",36186.418577837,31764.0659278915,36866.1861208463,34283.0714115228
"Klc2",149527.695874936,139613.381483437,127046.280224673,130945.322701747
"Gorab",28459.3868190472,34374.3171420477,30623.2473460609,33597.1999997023
"Cap1",103660.573325612,107472.135166844,91710.9239112128,108589.014398905
"Rsl1d1",16192.2,13183.9,23275.4,15676
"Mvp",56772.5732551005,56233.1347929443,62232.4887428628,67773.3517485402
"Sh3bp4",31456.4740390887,27692.5113713394,29807.0094719116,27847.8047682951
"Abtb2",31525.1728071924,31715.2274975606,27981.2748485831,31167.7987632035
"Psma7",18959.3654012313,19205.3504162765,21180.280740668,19993.1489791457
"Hsp90aa1",62893.5513875699,62153.592088242,62387.5283611226,67076.0250791617
"Glod4",49279.794893588,51929.3308452452,44377.5826856645,43846.1677720665
"Vti1b",141107.253124602,149516.392290846,125011.867595687,152461.064657581
"Unc45a",8800.34590075084,9078.75072254978,12830.7999998964,14664.6002032042
"Phf24",148523.411982302,144938.581595722,139684.755620534,146857.196162671
"Srp68",195669.024926878,208478.968395641,194287.090196048,225640.638101899
"Arhgap28",32082.811311307,29656.8199660448,30370.5447571468,31801.5088018106
"Gsr",8722.06,7870.88,7325.82,13357
"Tomm34",23743.680931238,25420.8528526397,23812.5937568021,21350.5389752312
"C2cd2l",52852.5472822643,47555.7078259177,51265.6368867202,48569.7727046606
"Arhgap31",3158.66,3189.31,5149.07,4243.66
"Micall2",21249.0689740214,21096.8680581689,17208.2024348379,20575.1048746427
"Wipf1",10020.4026939633,10435.1955588043,10740.4508134991,15271.8681781947
"Strn",159055.37123689,160915.806306395,154059.367035766,161103.551962769
"Smarcc2",50691.2069996805,49310.0090194216,45968.994494283,50096.3869266297
"Vps37c",38526.4592767961,40037.9012928092,34660.949172635,39170.0659640452
"Pgam1",324936.679343931,381107.575361041,343962.939530586,372230.496193749
"Rin1",5410.08,5995.57,NA,NA
"Depdc5",23071.0433199577,18008.309810433,19826.5550229329,20406.8484590682
"Ppm1g",43204.086563219,44413.2437470966,43679.0255792149,49147.1952703792
"Dst",53243.0311579574,50893.1710625091,54950.9440025837,51653.7068815426
"Cdc42bpb",30556.2926163885,39966.9944543578,40141.6571154137,37280.770730303
"Cct6a",40600.331696814,40032.735714478,30812.6224176666,39998.8445998801
"Dnm1l",414638.5372249,463878.844470716,424801.296434468,466179.763140801
"Mavs",8206.62021465925,9436.00556779403,7972.73760425364,11237.9121269645
"Stam2",23345.9922166716,19478.6016283517,22121.066795343,24839.1430547551
"Gapvd1",28489.3679399597,27221.5241842856,28624.2905086544,30084.8253925814
"Cog1",69961.2096965333,68556.7825101527,69947.1195026281,60458.6993320308
"Hgs",35771.448244333,32473.5868219775,38000.484899966,32923.7369782246
"Borcs6",35228.9516491673,30294.2993483151,31060.0924549889,33035.2254322287
"Arhgef40",27461.0265816067,22256.2093586761,24737.79649479,24064.9054167792
