"","Ox_f_T_Slot2-16_1_3811","Ox_m_T1_Slot2-13_1_3813","Ox_m_T2_Slot2-14_1_3820","Ox_m_T3_Slot2-15_1_3816","Ox_m_TC1_Slot2-5_1_3807","Ox_m_TC2_Slot2-6_1_3798","Ox_m_TC3_Slot2-7_1_3804","Ox_f_TC_Slot2-8_1_3796","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819","V_f_TC_Slot2-4_1_3801","V_m_TC1_Slot2-1_1_3799","V_m_TC2_Slot2-2_1_3805","V_m_TC3_Slot2-3_1_3802"
"Ahsa1",17.7414331928011,17.5699688774435,17.7260896479575,17.5610600605793,NA,NA,NA,NA,17.7749627994267,17.7861991176641,17.6924199563059,17.7455504274459,NA,NA,NA,NA
"Ahsa2",15.3125765716227,15.0444481008269,15.2088542539795,15.2385531926251,NA,NA,NA,NA,14.7601182338163,14.5379055548333,14.8050487482425,14.6219434084225,NA,NA,NA,NA
"Aifm1",12.6249848857991,12.6449749072894,12.6086398179812,12.8718590460322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aimp1",16.1481660139099,16.4236833267031,16.3623865496491,16.4890082763564,NA,NA,NA,NA,15.9453680830853,15.7984841871699,15.9317182232804,15.852477651811,NA,NA,NA,NA
"Aimp2",15.3933607401031,15.3118602529012,15.4267637300555,15.3648511689976,NA,NA,NA,NA,16.6599706084649,16.6740529228009,16.5618667624911,16.7938966305164,NA,NA,NA,NA
"Aip",14.8608541944666,14.8831089743623,14.9354187471968,14.7863164611117,NA,NA,NA,NA,14.178594830674,14.2359020377397,14.3242227465195,14.1475070450451,NA,NA,NA,NA
"Ak1",13.7295995023036,13.4230371009093,14.0351513414691,13.6378927646934,NA,NA,NA,NA,13.6742474497342,NA,13.1920353875823,13.7536763991647,NA,NA,NA,NA
"Ak2",NA,NA,NA,NA,NA,NA,12.1038221623768,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ak3",12.654248901155,11.9974723662949,11.8983028418272,11.8586337912917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akap1",14.415158432575,14.4582857322961,14.4068721441282,14.5928946022152,NA,NA,NA,NA,14.7660707807308,14.9588332315276,14.4680592149542,14.6511479338442,NA,NA,NA,NA
"Akap10",14.8053713973601,14.9057649608545,14.8994308488097,14.9805831385578,NA,NA,NA,NA,14.7339225094624,14.9370133152205,14.8364005133835,14.7575110548077,NA,NA,NA,NA
"Akap12",18.4474775909186,18.312156910176,18.4871994544292,18.3927024093812,14.8602176090521,14.8482056753932,14.8101232675939,14.824782287766,19.7441936063032,19.8426643994812,19.6955972476302,19.7559062632929,14.3420936073938,14.2679382257062,14.3352928222572,14.4327720759984
"Akap13",14.8071416250172,14.9505578142474,14.8470912555496,14.8975219099455,NA,NA,NA,NA,15.9990107856069,15.9738263376897,16.033527885719,15.8850717649515,NA,NA,NA,NA
"Akap2",14.0866356279059,14.3088223558354,14.4909089283407,14.3373193166942,NA,NA,NA,NA,15.8818947033773,15.8406485681841,16.019900484874,15.8710258938987,NA,NA,NA,NA
"Akap8",NA,16.8467898695448,16.7195892551704,17.0847360324054,NA,NA,NA,NA,12.1503026279296,NA,NA,NA,NA,NA,NA,NA
"Akap9",16.2944674260334,15.8925277861356,15.977998757654,15.9748933094182,NA,NA,NA,NA,16.3236190689271,16.266636536653,16.3107269364376,16.418861692875,NA,NA,NA,NA
"Akr1a1",NA,NA,NA,NA,NA,NA,NA,NA,14.9263284291072,NA,NA,NA,NA,NA,NA,NA
"Akr1b1",NA,NA,13.5334392444733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akt3",15.1462786041794,15.0724369990167,15.2799337657732,15.5370745986323,NA,NA,NA,NA,15.5482457611583,15.3271564652214,15.7522486821818,15.540811164632,NA,NA,NA,NA
"Aktip",16.6556285937959,16.9401960975168,16.8192296898679,16.8884434355281,NA,NA,NA,NA,16.775488321369,16.622727649787,16.9185118974719,16.4819717292676,NA,NA,NA,NA
"Alb",18.7785636834058,19.1495011787975,18.9983392185553,18.8856952601299,19.6321343512917,19.0209388036803,19.4528230847731,19.7473482515971,19.4569098388253,18.6385313683248,19.8212944154025,18.6570253025805,19.6537722617569,19.3786547057238,19.5548717244271,19.2563814764475
"Aldh2",NA,13.6029076000032,13.9236710317706,13.3989974770761,14.4636435953769,14.6876575169116,14.4536414296134,14.0951444188247,14.1124395067816,NA,NA,NA,NA,NA,NA,NA
"Aldh4a1",NA,NA,NA,NA,11.881951337478,NA,12.1644230148734,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldh6a1",NA,NA,NA,NA,14.3677965037922,14.6089919728995,14.6672606103806,14.2403998177223,NA,NA,NA,NA,NA,NA,NA,NA
"Aldh9a1",13.8609608585838,13.1914818412897,13.2820154852751,13.6198416871982,12.7887361474573,12.7718963178068,12.6748658295974,12.677178158314,12.6304923863184,13.3485483593286,NA,13.5862064765764,NA,NA,NA,NA
"Aldoa",16.8580660114955,16.5307577513647,16.6323320703182,16.534488070881,12.096881296191,13.1963190259421,13.1484268672461,12.5977312524588,16.3042367389297,16.2513258985509,16.4977912151417,16.4919231604725,12.3678160507867,12.4742560399168,12.27908819142,11.5579087909914
"Aldoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7426652232981,NA,NA,NA,NA
"Alg13",13.4706564158304,13.5883501144754,13.4217407704739,13.348394430417,NA,NA,NA,NA,13.6846828825156,13.7159727117896,13.5444332223714,13.7251745107272,NA,NA,NA,NA
"Alg2",NA,NA,NA,NA,NA,NA,NA,NA,13.8161336703381,13.8198996526004,13.7669015428866,NA,NA,NA,NA,NA
"Alkbh1",NA,NA,NA,NA,NA,NA,NA,NA,14.4313213047188,14.3022819182573,14.506667094193,14.5677422213684,NA,NA,NA,NA
"Alkbh3",14.8144602264357,14.8680246360304,14.9655360513186,14.8077948322399,NA,NA,NA,NA,15.320350234928,15.401540722961,15.2938723192144,15.3386454965984,NA,NA,NA,NA
"Alkbh6",14.8044619210862,14.6002751576578,14.5040197141329,14.7367176471907,NA,NA,NA,NA,13.688938703867,14.3386737158878,14.3638678193193,14.2423181710566,NA,NA,NA,NA
"Alms1",NA,NA,NA,NA,NA,NA,10.7113658429955,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Als2",14.3593515016437,14.7067010544015,NA,14.8364202547347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyref",14.7382502825131,15.205912636488,14.9730360551261,15.1650460324744,NA,NA,NA,NA,14.7917753561444,14.4759972743025,14.8758083278965,14.8596130056886,NA,NA,NA,NA
"Amer2",16.4784145171367,16.2977996081835,16.0718146566059,16.2805146447908,NA,NA,NA,NA,16.0941639310434,16.0884087366055,16.0756374364245,16.4116081117977,NA,NA,NA,NA
"Amer3",12.8066563500833,12.8398080656999,NA,13.1789791226393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amigo3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3252545016419,NA,NA,NA
"Amn1",15.506749891848,15.9183219951263,15.7431801612559,15.9788710505733,NA,NA,NA,NA,15.9900314762687,16.1656255337927,15.8694075545679,15.9118507800086,NA,NA,NA,NA
"Amotl1",NA,NA,12.7196095575755,12.9230586196737,NA,NA,NA,NA,12.6055512806322,13.105589365365,NA,13.1253682644694,NA,NA,NA,NA
"Ampd2",17.1909457824543,17.1731198470399,17.0090488025069,16.9758331166368,13.3630122439859,NA,13.5386981998544,11.8970815630331,17.490635591152,17.575839979307,17.3877648030066,17.3711285695266,NA,NA,NA,NA
"Ampd2;Ampd3",15.5789505028517,15.1926742459051,15.2068541135465,14.6475202613418,NA,NA,NA,NA,15.2682824731381,15.2826359925853,15.7466114142706,15.6275424339203,NA,NA,NA,NA
"Ampd3",17.0690961124887,16.9977660732762,17.0651977421178,16.8232475355358,NA,NA,13.5000575930245,NA,17.1825420996054,17.2772256879475,17.1439333958948,17.4154367641948,12.1661568045861,NA,NA,12.6573028165782
