,logFC,AveExpr,t,P.Value,adj.P.Val,B
Plat,-2.155529562,14.35432753,-10.34352772,6.49E-08,3.68E-06,8.631684849
Slc12a2,0.705357799,17.79545034,9.885277305,6.11E-08,3.52E-06,8.590799354
Rab11fip5,-0.686114338,16.26917311,-9.864568138,6.28E-08,3.59E-06,8.562911733
Mthfd1l,-0.679940024,16.90884801,-9.831563702,6.56E-08,3.69E-06,8.518370252
Ptprf,-0.687778675,15.57451346,-9.800577524,6.84E-08,3.80E-06,8.476444087
Sema6d,-0.978261081,14.14337051,-9.799553785,6.85E-08,3.80E-06,8.47505711
Adarb1,-0.863478815,12.83052583,-9.789335358,6.94E-08,3.81E-06,8.461206725
Sema4f,-0.875928523,13.84146486,-9.786048457,6.97E-08,3.81E-06,8.456749115
Ipo7,-0.770199929,16.22776925,-9.773594269,7.09E-08,3.85E-06,8.43984829
Akap2,-0.826538751,14.96006239,-9.761994238,7.20E-08,3.88E-06,8.424091232
Slc17a6,-0.9984397,16.18724677,-9.72237577,7.59E-08,4.06E-06,8.370163022
Tenm3,-1.200375321,14.63605382,-9.679142594,8.04E-08,4.27E-06,8.311116258
Antxr2,-0.737606759,15.08357475,-9.667772595,8.17E-08,4.31E-06,8.295552928
Serpinb1a,-1.541642012,17.23437371,-9.648035657,8.39E-08,4.39E-06,8.268502689
Pgrmc1,0.825218208,17.61346738,9.634392755,8.54E-08,4.40E-06,8.249779166
Trip12,-0.899039708,14.16154449,-9.633388523,8.55E-08,4.40E-06,8.248400135
Xpnpep1,-0.534027583,15.60122551,-9.632212345,8.57E-08,4.40E-06,8.246784843
Tes,-1.131324169,16.13107285,-9.602228966,8.92E-08,4.55E-06,8.205555212
Polr2b,-0.646995219,14.46720913,-9.597245259,8.98E-08,4.55E-06,8.198692443
Ctsc,-0.86234313,15.2113527,-9.573528864,9.27E-08,4.66E-06,8.165995789
Erc2,-1.196329759,14.70765731,-9.546707765,9.61E-08,4.80E-06,8.128942612
Pum3,-1.054633778,13.54395496,-9.465488053,1.07E-07,5.33E-06,8.016242369
Txnrd1,-0.71198016,17.27371869,-9.457317391,1.09E-07,5.35E-06,8.004863353
Inpp5f,-0.697905625,14.43558118,-9.427034227,1.13E-07,5.55E-06,7.962622637
Pcdhga4,-1.399673762,13.3866476,-9.410121026,1.16E-07,5.64E-06,7.938985565
Drg1,-0.551805512,14.82448598,-9.359024502,1.24E-07,6.01E-06,7.867376526
Ppp2r1b,-1.173269242,12.95483711,-9.341208914,1.27E-07,6.12E-06,7.842338419
Galk1,-0.665309802,15.68873461,-9.315277129,1.32E-07,6.30E-06,7.805828396
Atp1a2,0.709065179,19.39497545,9.294059794,1.36E-07,6.44E-06,7.77589819
Ttc39b,-0.730822514,14.40009029,-9.289026727,1.37E-07,6.44E-06,7.768790657
Zeb1,-1.186727462,12.87866349,-9.286214751,1.37E-07,6.44E-06,7.764818397
Niban2,-0.736897952,17.60193894,-9.276733113,1.39E-07,6.48E-06,7.751417672
Mars1,0.652117962,17.7188673,9.263320868,1.42E-07,6.57E-06,7.732443877
Flnc,-1.332398232,16.21043139,-9.254236819,1.44E-07,6.61E-06,7.719581149
Fbln2,-1.466807914,13.8270411,-9.219926517,1.51E-07,6.89E-06,7.670912217
Procr,-1.486230288,13.68357695,-10.00175968,1.90E-07,8.43E-06,7.615980499
Zfp36l2,-1.71526103,14.93978311,-13.73882559,2.65E-07,1.05E-05,7.591994504
Dcaf1,-0.961386047,13.30506259,-9.161162109,1.63E-07,7.43E-06,7.587235977
