ProteinGroup,GeneSymbol,881_dLSC_f1_5.27.2024.d,882_dLSC_m1_5.27.2024.d,883_dLSC_m2_5.27.2024.d,884_dLSC_f3_5.27.2024.d,885_dLSC_f2_5.27.2024.d,886_dLSC_m3_5.27.2024.d,889_LDRG_898_5.28.2024.d,890_LDRG_1248_5.28.2024.d,891_LDRG_1095_5.28.2024.d,892_LDRG_1236_5.28.2024.d,893_LDRG_1094_5.28.2024.d,894_LDRG_1249_5.28.2024.d,896_paw_pool_5.28.2024.d,897_paw_f_5.28.2024.d,898_paw_m_5.28.2024.d,901_SCN_IIa2_5.28.2024.d,902_SCN_IIa3_5.28.2024.d,903_SCN_IIb2_5.28.2024.d,904_SCN_IIb3_5.28.2024.d,905_SCN_IIa4_5.28.2024.d,906_SCN_IIb1_5.28.2024.d
Abcd1,Abcd1,13.38766723,13.24577925,13.55945276,13.39769036,13.51013615,13.36347046,14.68145804,14.77351552,15.00640326,14.70852458,14.89425237,14.61474233,13.78736582,13.94016268,13.81499279,13.89704135,13.86094753,13.80312677,13.95928029,13.89849725,13.75393554
Abcd2,Abcd2,15.21431434,15.18533176,15.22843869,15.22067827,15.12044446,15.18050858,14.89174074,14.99447253,15.22411798,14.81637495,15.13025648,14.83635163,NA,NA,NA,14.49788415,14.75204085,14.06990984,14.67693777,14.06410947,14.12933501
Abcd3,Abcd3,16.11466165,16.31462469,16.14513277,16.15116442,16.03812905,16.26323646,16.36578322,16.31481451,16.31638266,16.36623839,16.55488978,16.44727117,16.731762,16.7415946,16.63196723,14.47075442,14.37864666,14.52844787,14.53649433,14.45280085,14.51770929
Abcd4,Abcd4,12.21487663,12.52048917,12.84529968,12.3990902,12.66346923,NA,13.65061123,13.94873483,14.03083097,13.78597023,13.93260615,13.93504766,12.48930769,12.87183406,12.96833126,NA,NA,12.80865252,12.70670537,12.93696177,12.71636292
Abce1,Abce1,16.86315401,16.88417449,16.83134282,16.87973417,16.83623357,16.97104005,17.25927085,17.15323175,17.12630349,17.29152321,17.1814073,17.24936345,17.43338168,17.3548586,17.47320089,16.43888769,16.51722467,16.45696646,16.59774535,16.43923754,16.4691181
Abcf1,Abcf1,15.87318439,15.767991,15.80439828,15.83179229,15.9111397,15.8694055,17.46855299,17.74648044,17.58324105,17.60832903,17.6120056,17.84921084,18.04517524,18.08943078,17.97544516,15.54277899,15.39376715,15.54873053,15.43612521,15.53408096,15.4807566
Abcf2,Abcf2,16.59792201,16.64256,16.69539949,16.62093998,16.56653158,16.70324114,16.49239899,16.78966341,16.72339607,16.71171673,16.82623013,16.88878303,16.63993142,16.67505284,16.59589971,15.15239873,15.17140061,15.07632482,15.16613701,14.98164788,15.01836117
Abcf3,Abcf3,14.63648166,14.75386121,14.57506727,14.53813492,14.53924053,14.70881147,15.13586256,15.16958638,15.28111174,15.42775423,15.26022724,15.31684796,15.09101172,14.93585103,15.14566794,13.60091806,13.57070172,13.660606,13.59555369,13.6572874,13.68096413
Abcg1,Abcg1,14.00170143,13.94052484,13.92658829,13.76655835,13.72089833,13.95401139,13.54664923,13.72016368,13.38563335,13.80576259,13.64679675,13.83509544,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcg2,Abcg2,16.05099105,16.0390007,16.08385273,16.0606782,15.87801911,16.11713616,16.12675255,16.20307443,16.4318167,16.16353366,16.29092772,16.286668,14.84835783,15.00132465,14.76006598,16.25651319,16.53285725,16.33836627,16.14746918,16.42733278,16.20276525
Abhd10,Abhd10,16.97557721,17.17973025,17.08581011,16.90833776,16.83934791,17.20452449,16.65936001,16.85768325,16.7010223,16.56863716,16.80655449,16.80319668,13.41816886,13.69357407,13.67024684,14.54201677,14.49705557,14.49897303,14.53644283,14.44185383,14.50735309
Abhd11,Abhd11,16.39849593,16.46384292,16.47199501,16.46888364,16.43703485,16.62009564,15.5836892,15.62297313,15.52712572,15.82907696,15.78620939,15.94218576,14.87936478,15.07906829,14.68338818,14.49514972,14.83792234,14.28864561,14.69773109,14.23875962,14.22335275
Abhd12,Abhd12,17.60700493,17.68683536,17.69142839,17.62771435,17.54058395,17.64139278,18.7835006,18.55926641,18.48205582,18.60148856,18.96522534,18.82662703,15.85213451,15.63065907,15.83755358,16.42212828,16.48994676,16.60438499,16.49604619,16.62838636,16.53477308
Abhd13,Abhd13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.15428016,14.3034597,14.22569699,NA,NA,NA,NA,NA,NA
Abhd14b,Abhd14b,15.77337186,15.90112353,15.91950852,15.76287842,15.81554088,15.74434317,15.7912487,16.16023911,15.85834282,15.90716108,15.51713319,16.23782686,16.4670175,16.77324476,16.38299434,16.68538067,16.80218998,16.89364897,16.88070948,16.8332718,16.90320871
Abhd15,Abhd15,NA,NA,NA,NA,NA,NA,13.89366178,14.16259588,NA,14.15306113,14.01285147,13.77561028,NA,NA,NA,13.0985601,13.09768586,13.11936507,12.87961417,12.90684332,12.56975744
Abhd16a,Abhd16a,16.67776084,16.84647028,16.83248328,16.78895172,16.71511397,16.84035954,17.03354379,17.05588711,17.01188484,16.91985922,17.10956888,17.03155758,15.19321302,15.2134405,15.08790263,15.10636272,15.17705641,15.1741103,15.35571396,15.0941336,15.29073642
Abhd17a,Abhd17a,14.65298591,14.74691193,14.63378736,14.84206755,14.77137629,14.75883589,NA,13.44063562,13.88158242,NA,13.77392217,13.3379006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhd17a;Abhd17b,Abhd17a,14.30886311,14.47804807,14.43350262,14.52217374,14.59920138,14.36806966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhd17b,Abhd17b,14.24611865,14.52084233,14.22465119,14.45272302,14.24879229,14.45950019,12.89580221,13.40322806,13.2690996,13.27675851,13.36822237,13.22086777,NA,12.90735639,12.67862214,NA,NA,NA,NA,NA,NA
Abhd17c,Abhd17c,13.68393607,13.89349568,14.0986417,13.85633047,13.5466298,13.96012989,NA,NA,NA,12.31576377,NA,12.4336715,13.27028885,13.5049413,13.89147437,NA,NA,NA,NA,NA,NA
Abhd2,Abhd2,NA,NA,NA,NA,NA,NA,14.1437751,14.72065672,14.79109697,14.71249596,14.6205637,14.70741506,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhd3,Abhd3,15.54815103,15.58856286,15.44569667,15.31169354,15.35729027,15.5445023,14.63060009,14.30466593,14.42583294,14.48594769,14.44382302,14.54183755,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhd4,Abhd4,15.71449303,15.88736446,15.82750086,15.78116029,15.76971105,15.89517622,15.91403351,16.18336469,15.60153332,15.37098965,15.76220375,16.01834533,13.19722898,14.11147804,13.86987333,17.94034229,17.90276619,18.23190964,18.08107851,18.04859974,18.16527762
Abhd5,Abhd5,13.57908403,13.62927193,13.16336292,13.69942706,12.97967155,13.58748234,11.74733428,11.71757038,11.50540757,11.62389272,11.79301867,12.32537618,14.27964223,14.2887332,14.32550325,13.65587531,14.26321128,13.73553877,14.34558585,13.57463981,13.84407723
Abhd6,Abhd6,16.58868887,16.55087933,16.44227517,16.64357932,16.38840941,16.61231386,15.79244687,15.91496336,15.98734667,15.96194347,15.96550655,15.9641341,15.70379675,15.66894234,15.66002003,14.17167219,14.0965323,14.57797111,14.23463353,14.01018624,14.15838652
Abi1,Abi1,18.65483994,18.73417399,18.57104569,18.59171288,18.62557898,18.55000818,16.98299344,16.87048201,16.60625446,16.73520887,16.86564377,16.77269047,16.84323152,16.86121566,17.0551242,16.78999003,16.59088507,16.75166843,16.70465556,16.70609571,16.69030845
Abi1;Abi2,Abi1,16.88695317,16.83990701,16.67757768,16.53058731,16.77205443,16.65154074,15.54814641,16.29366552,16.08353624,16.11044248,15.93569463,16.02006862,16.406929,15.80321859,16.19635951,15.35303122,15.28433101,15.37182794,15.2976936,15.55415713,15.40986129
Abi2,Abi2,16.74388978,16.72749901,16.76537532,16.59182088,16.77394175,16.65724318,15.31923491,15.44402758,14.96381634,15.34131627,15.33051848,15.33493131,12.96483769,13.3944222,13.01894171,14.8284173,14.84237529,14.8897517,14.78270764,14.87689145,14.85411638
Abi3,Abi3,12.66197401,11.77993271,11.63534629,12.06498858,12.77914274,NA,NA,NA,NA,NA,NA,NA,12.70749246,12.69434488,12.47476242,NA,NA,NA,NA,NA,NA
Abitram,Abitram,NA,NA,NA,NA,NA,NA,NA,11.4063751,11.97795603,11.95867958,NA,NA,14.16181706,13.92392888,14.6988461,NA,NA,NA,NA,NA,NA
Abl1,Abl1,12.65848737,12.34778925,12.02961799,12.32466231,12.62672378,12.99525456,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.74826414,11.83911716,11.93499926,11.60287513,10.89102419,11.75845226
Abl1;Abl2,Abl1,13.61858541,13.60487577,13.7618259,13.71430414,13.73360094,13.87995207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abl2,Abl2,14.27717524,14.20237626,14.13434288,14.17978462,14.37225365,14.24824379,13.41941596,13.63931003,13.40076988,13.3632935,13.45287017,13.49510868,13.20523579,12.8766685,13.36047676,13.83503854,13.6535457,13.73559789,13.84505831,13.69452608,13.66961002
Ablim1,Ablim1,16.48672179,16.52954428,16.55939923,16.42319138,16.49720734,16.52013022,16.00640839,16.1701767,16.00220755,15.93015105,16.10082399,15.90253223,16.20584208,16.33343314,16.31039648,18.42020157,18.13219659,18.19179071,18.10941068,18.2908194,18.20257041
Ablim2,Ablim2,16.91103903,17.04959903,16.83052176,16.92138588,16.83084882,17.13664161,15.06587165,15.06581731,15.07150117,14.60395312,15.1079794,14.96101375,13.50998247,13.24936142,13.70135602,15.7709598,15.66270729,15.55398624,15.63215857,15.57712897,15.61726613
