"","GeneID","X170_SCN_T_m_4","X175_SCN_T_f_5","X177_SCN_T_f_6","X178_SCN_T_m_1","X181_SCN_T_m_3","X197_SCN_T_f_1","X171_SCN_T_f_2","X183_SCN_T_m_2","X185_SCN_T_f_4","X187_SCN_T_f_3","X173_SCN_TC_f_1","X174_SCN_TC_m_5","X182_SCN_TC_m_3","X186_SCN_TC_m_4","X191_SCN_TC_f_3","X193_SCN_TC_m_2","X194_SCN_TC_m_1","X199_SCN_TC_f_2","X189_SCN_TC_f_6","X198_SCN_TC_f_4","X201_SCN_TC_f_5","X195_SCN_TC_m_6"
"48","Actn4",7137.329736,8206.912362,8428.863765,9007.018646,11596.62714,8964.137409,5858.72,7369.667937,NA,9376.384776,6006.371429,61760.35371,6527.858558,6576.559585,6869.597528,7435.705123,8651.097469,5558.735069,6010.755802,5496.047701,7208.009246,6604.335365
"49","Actr10",16745.88958,16270.50045,17967.50764,20312.66773,17689.91408,25023.19688,17167.75261,16814.66809,21479.4977,17514.97565,3432.464856,NA,2262.61638,3241.581448,1100.542284,NA,NA,NA,NA,3077.037996,NA,NA
"50","Actr2",28011.45565,26348.58113,28564.50802,22386.18796,19940.27475,26066.75093,26503.47368,32586.27747,27837.96709,23134.75698,NA,25599.83892,NA,2338.509937,3278.360632,NA,NA,NA,NA,NA,NA,NA
"51","Actr3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34390.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Acyp2",4337.7,5692.12,4278.21,NA,6093.15,4368.98,2941.84,4988.34,5710.07,3713.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Ada",NA,NA,NA,NA,38375.4,48651.6,NA,NA,NA,55633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Adam22",26101.6432,24330.2862,28965.47187,25038.78068,28083.2182,25819.90317,22903.52324,30865.73815,21446.77347,25037.42729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Add1",187157.9599,173990.2034,200343.3619,181041.6378,192246.8735,201807.0115,189675.097,155503.1775,172567.9597,193591.6105,7475.339029,6422.776793,8616.798643,10000.18332,7865.986231,8414.69867,10891.69691,5576.939074,4882.638839,6194.55491,8185.606387,8597.12526
"56","Add1;Add2",171383,212472,338112,317443,273600,307554,195208,123636,202152,184839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Add2",616102.968,696857.447,740544.2977,747437.6726,722082.3796,741423.9275,722979.2459,635146.3127,734847.3432,749575.2668,12863.0689,7056.206818,5727.764239,16431.69828,5392.396948,NA,3310.781275,4071.454761,5941.100941,7730.474152,5838.444707,4448.599248
"58","Add3",38464.38346,43247.8654,35135.3548,21789.80233,37155.61948,30760.52072,33784.05133,50486.92639,39152.50459,45071.74996,12710,25294.07883,29765.60698,32611.00219,29765.19097,31291.69057,46917.28858,NA,NA,NA,NA,43021.19193
"59","Adh1",NA,NA,NA,1507.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Adh5",6650.09,NA,4627.18,5994.23,3780.53,4590.83,NA,NA,4634.02,6441.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Adk",NA,NA,7103.92,NA,5437.52,4452.37,NA,NA,5543.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
