"","GeneID","X144_DRG_T_f_1","X147_DRG_T_m_2","X148_DRG_T_m_1","X149_DRG_T_f_3","X152_DRG_T_f_4","X156_DRG_T_f_2","X164_DRG_T_m_3","X145_DRG_T_m_4","X143_DRG_TC_m_4","X151_DRG_TC_f_2","X154_DRG_TC_f_4","X157_DRG_TC_m_3","X158_DRG_TC_f_5","X161_DRG_TC_m_2","X162_DRG_TC_f_1","X165_DRG_TC_m_1","X160_DRG_TC_f_3"
"86","Actn4",20834.20893,21070.53664,20189.90996,18739.86527,21336.22576,20237.33832,20254.96569,21476.46667,14857.07415,15392.97385,14650.11016,12974.48084,16602.69359,10528.03592,16011.04688,9363.469404,15800.83284
"87","Actr10",256231.5435,199519.3286,174329.881,215924.9619,225494.2101,252228.4464,186034.4196,184253.6927,5730.866842,7722.61317,10434.55283,25864.59641,8470.164895,6200.917349,4082.756757,9711.019394,4951.255165
"88","Actr1a",8392.0617,7396.259931,NA,5651,8668.76,7436.957268,6985.545251,6972.669854,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Actr2",91552.2184,82784.21883,66320.39197,78832.85761,74450.63787,87329.00561,81579.48834,77755.3936,6849.51608,9541.273966,10559.32312,11114.6429,10095.99762,11156.96308,11760.53814,11126.12264,11770.72843
"90","Actr3",18050.31647,19369.14616,13495.75166,14988.85115,17431.80012,17945.70442,16741.31625,17022.81453,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Acvr1b",6380.57108,7427.335016,NA,8896.58,NA,6999.658648,11640.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Acyp1",5494.055939,4183.444985,NA,NA,4829.040193,4889.161389,4956.465112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Adam10",NA,NA,6663.84,7124.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Adam17",NA,NA,NA,NA,NA,NA,NA,NA,7123.26,5642.04,5093.66,5034.3,NA,7030.17,5936.78,4795.88,4420.1
"95","Adam22",59484.64689,67731.2757,66678.11974,61394.59143,61259.4006,58403.07906,67088.20564,67395.34609,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Adamts19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10289,15928.9,NA,10953.1,NA,NA
"97","Adamts20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8690.74,NA,6565.37
"98","Adar",20974.86448,20886.46506,22670.11867,23201.59281,22098.87255,23745.6875,21640.98329,23291.85042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Adcy9",20788.01952,18671.576,19453.49803,22794.87585,20798.61374,21316.94559,17194.02233,18964.21098,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Add1",446062.036,405137.2109,385487.5796,457556.9951,450660.8545,463826.615,403494.2881,410040.3008,97705.84936,90613.98907,104640.2874,95835.69383,98723.93316,89546.95054,90550.9903,93244.89745,88627.81245
"101","Add1;Add2",NA,627716,468610,647785,585987,646108,543639,677525,47050.8,NA,30755.7,NA,NA,NA,NA,NA,25742.5
