GeneID,X207_LSC_T_m_2,X211_LSC_T_f_3,X220_LSC_T_m_5,X221_LSC_T_f_5,X224_LSC_T_m_1,X225_LSC_T_f_6,X227_LSC_T_m_6,X228_LSC_T_f_2,X233_LSC_T_f_4,X236_LSC_T_f_1,X237_LSC_T_m_4,X240_LSC_T_m_3,X208_LSC_TC_m_5,X209_LSC_TC_f_2,X212_LSC_TC_m_2,X214_LSC_TC_m_6,X219_LSC_TC_f_1,X231_LSC_TC_f_6,X232_LSC_TC_f_5,X238_LSC_TC_f_4,X241_LSC_TC_m_3,X213_LSC_TC_m_1,X216_LSC_TC_f_3,X223_LSC_TC_m_4
Acot9,46174.44219,30009.03105,40456.65218,34699.69749,37407.9446,32712.83012,48159.92649,32909.97333,32573.77797,32739.31011,43011.923,48096.37962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acp1,76200.84733,60028.90713,60814.35631,81798.53851,54962.85001,73149.33763,80340.24148,87064.76576,83631.28602,94156.58584,76068.70104,85161.96354,6176.389645,4550.806371,4360.384698,10260.82681,9160.552859,9941.862912,10940.52794,7704.548799,6458.77463,4836.562098,7838.9662,7221.596491
Acrbp,31698.3,25131.3,25544.9,34859.3,23645.7,36022.8,43054,37664.2,30672.9,39054.4,42011.9,43560.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acsbg1,21831.71698,16599.25602,21666.06247,14576.15933,23396.51118,15359.1844,21710.27994,16205.1517,17015.28115,14239.25707,25610.98953,24050.46025,7623.444043,10722.31681,9509.862722,7898.1839,7728.197189,8635.63284,9328.652825,10102.58311,9063.231109,5983.307678,10518.21717,9262.667668
Acsf2,9607.04,7619.7,12635.4,4936.1,12037.6,5125.57,7273.51,4456.69,5151.14,5749.44,7130.71,9144.14,2140.714415,3364.730001,3923.721809,NA,5970.302687,3290.895025,4756.647418,3484.869492,2580.783623,NA,4293.331711,2525.446498
Acsf3,14204.10454,12896.20924,18047.89397,8184.081611,16004.66079,11922.49566,8691.61873,8867.722908,8034.224438,9409.039773,9849.808457,11210.3245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acsl3,162303.8841,140861.2399,165331.5216,102377.0681,126970.2991,129909.3321,166009.8992,101625.2983,131591.0362,145569.2215,179414.2019,153017.8391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acsl3;Acsl4,21706.4,NA,NA,20512.2,NA,19366.6,23984.2,17461.6,28047.1,29714,NA,17445.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acsl4,16847.52203,20134.69068,24512.79731,17351.23305,19247.70458,16875.82413,16665.77202,17066.06443,15988.76563,18875.10712,17790.88606,15925.25122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acsl6,23305.14149,16126.91037,22010.39634,19200.13151,23273.94806,18293.17452,24205.74463,20570.49717,18878.86268,19084.3635,25250.63231,24771.29712,4507.29631,8424.893212,6076.793467,7654.619732,6961.556742,8216.772569,5922.974484,5499.668562,4665.259264,6651.008897,5047.519131,5166.213209
Acss2,19238.90628,23682.77536,22552.61442,25130.61756,20870.47569,22127.58204,22515.52049,23671.47917,23033.7118,22640.75747,20016.71636,23619.51035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acta1;Acta2;Actb;Actc1;Actg1;Actg2,625834.3419,423345.5847,707614.2762,418139.0742,636361.4027,417067.7948,651819.9735,442514.0982,399007.3099,433958.9627,615492.6697,602159.1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acta1;Acta2;Actc1;Actg2,NA,NA,NA,11307.6892,NA,NA,NA,16404.08656,11507.37653,10134.12006,10557.47729,12693.23149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actb;Actg1,298448.7695,134815.9156,241240.3778,249632.8727,171846.5841,261481.5668,287364.1353,276371.4093,241635.778,254188.8803,314938.3377,313960.0327,272552.9305,229195.9899,222398.3388,235948.016,241126.8178,241603.3827,244701.6319,239071.0453,210484.9163,189273.7495,242123.4182,251967.8932
Actbl2,483406.2489,271317.1694,492063.7602,299810.051,425377.4942,336602.1283,403233.7435,340093.3854,307006.1876,355870.5889,427532.6233,450112.036,214458.8535,192700.6172,185519.0022,207858.9254,185993.307,205976.3257,231728.597,209782.2475,201912.5129,142601.6049,206696.6901,245339.7292
Actn4,9460.001662,13045.83881,9085.288743,10082.52908,9786.340986,9166.967537,9168.154588,9726.423099,8978.773603,10065.41511,12537.91714,12354.25184,4455.31,3208.458919,6451.34,4355.33,7971.342536,3712.945561,4742.312599,3292.534352,5174.566769,4325.444668,3161.796168,4626.983706
Actr10,50759.05055,44624.47891,46084.48973,66412.50082,46227.47194,65806.67106,54202.10514,71165.0961,73295.9457,66783.89971,53374.81052,51653.40103,6910.403742,2725.575734,7981.469964,3358.636486,NA,NA,4333.551132,4055.336645,4895.570754,NA,NA,5119.733214
Actr1a;Actr1b,9692.873923,NA,14222.07997,10138.6258,10447.47964,11632.88295,14941.96234,8877.103843,8478.994846,10672.06683,11934.67218,19270.84312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actr2,89739.46664,77421.81623,74246.36821,90573.86718,71091.60778,88077.52595,72770.32758,90280.93122,78665.41164,82092.59536,78808.64905,74815.02819,5600.287502,7249.151783,6798.601276,7291.451343,9167.234535,6468.973012,4803.830632,5920.077817,6075.239301,3769.275056,7479.679614,6440.647848
Actr3,33388.7086,31566.53193,31034.04661,32352.35099,32904.59999,32904.64638,28273.15623,31675.90433,31545.93569,30901.93444,32825.94473,30607.69544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acyp1,8952.123863,NA,NA,6848.052653,NA,7456.271993,10101.14335,7230.817842,7795.013006,7112.5797,8358.214715,6337.599397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acyp2,18035.9517,19112.81558,21870.80051,17010.48085,19908.60048,18356.41715,15547.53704,14811.57459,17239.29298,16502.43827,19030.673,18074.15169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86056,85376.2,64386.4,83941.6,52050.8,61056.4,45121.9,81040,63134.8,77586.3,90763.6,67055.4
Adam22,179966.526,164910.8832,171294.2038,190990.894,174642.4602,202031.1653,192376.9786,216785.4529,207594.2549,190764.8545,203575.6237,191495.8813,19916.62616,20551.70222,17125.98231,17416.20936,18447.85747,18187.02639,17760.89681,19844.12723,17105.3117,18120.24158,22922.67413,18477.5877
Adam23,18104.6,11119.9,14338.1,14362.05759,13557.4,13946.58396,18264.37252,13713.95973,15440.7696,16852.27577,25587.87079,26515.16145,4488.04,6079.32,NA,7425.98,4793.19,NA,6841.86,6455.68,3817.14,NA,5232.02,4738.3
Adam28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8026.39,7992.36,NA,12845,11133.1,13048.7,13724.8,14648.5,NA,18383.5,10985.7
