"","GeneID","explant.logFC","explant.AveExpr","explant.t","explant.P.Value","explant.adj.P.Val","explant.B","yang.logFC","yang.AveExpr","yang.adj.P.Val"
"215","Ewsr1",-0.379815721678352,17.2745497668907,-3.36581192460053,0.00425598586789438,0.0184537846231055,-2.79458976910915,-0.5149222971,20.45230824,0.01605956698
"216","Exosc2",0.0570171417248151,14.0891153446518,0.601203201224338,0.556700236109426,0.684131045521988,-7.07532034867146,-0.7616843475,17.79125774,0.0205287732
"217","Extl2",0.42103810226552,17.61862199787,7.13388119560339,3.46782352251792e-06,7.92947451795257e-05,4.43541488047577,-0.9085862941,19.60563068,0.01993013278
"218","Ezr",-0.89341062752645,17.0675678157566,-11.0002086985538,1.43636549174362e-08,1.31374892537527e-06,10.0487589242095,-0.352226166,21.25240772,0.0116155613
"219","F13a1",0.0229692515800473,15.252465771476,0.200019721512411,0.844157177468674,0.903774629845178,-7.24369098572939,-0.3752124765,21.88728336,0.02572689812
"220","F2",0.723931079913836,17.7091727628898,5.92165410472541,2.82784863842726e-05,0.000378054630805784,2.28102782036634,0.4496897738,22.34558333,0.005922381626
"221","F3",0.348204397244242,14.2789698538856,2.49642123254743,0.0247074892039826,0.068839718038578,-4.50165276803875,0.6174126232,20.41743007,0.008015061918
"222","Fabp7",0.478980035063483,20.72340228386,4.55219650005098,0.000383468461442968,0.00289920711776438,-0.379809200243632,-0.7910822145,24.15759878,0.003882545595
"223","Fbp2",0.0755698422683473,14.3754552357316,0.417134075950455,0.682501251805147,0.786533403278826,-7.17306849650912,0.658246878,20.3160515,0.03172061845
"224","Fermt2",-0.177036751942403,16.6147505284235,-2.63592485727597,0.0187346062535199,0.0566342389767832,-4.23829161497916,0.3535701347,22.21975754,0.01678423999
"225","Fermt3",0.381742684299294,14.0364313922167,3.61361373912299,0.00256099162465019,0.0124723618083613,-2.29043299249595,-2.822668912,19.72483199,0.0003293582078
"226","Fhl1",0.260406134804928,17.571500756255,2.06533139047582,0.0566595967172783,0.129517517640837,-5.27386553744521,0.5238553475,25.13359797,0.03952816557
"227","Fkbp2",0.276235115171865,19.398834683399,2.02685586658761,0.0608745936197118,0.136408560546113,-5.33909084043009,-0.5424437218,24.30670694,0.00976516346
"228","Fkbp4",0.0740183411852797,18.0482241553772,1.03905129582499,0.315274494472982,0.459226783559402,-6.71160668001304,-0.2679779912,22.5502869,0.01021849169
"229","Fkbp8",0.206450860955194,17.4094900622841,1.88287253873008,0.0793000085607082,0.166317132048465,-5.57680723691669,-0.4643210634,21.83290269,0.02711808721
"230","Flad1",0.0342665782897029,14.6196479363563,0.30965577406137,0.761091650309488,0.845313282903434,-7.21416272392815,0.4993647853,19.28559779,0.02834798667
"231","Flna",-0.503494136931685,18.2129327300612,-6.07945024406963,2.12743877654482e-05,0.000306842131232426,2.57285306527361,-0.3189656871,23.66944061,0.03548474102
"232","Fmnl1",0.387956871706098,14.790960769793,3.87617104949088,0.00149730268671304,0.00836580878696068,-1.75400341375818,-0.5305158388,20.24676255,0.02797717025
"233","Fmod",-0.0953221037588605,14.6323303699697,-0.174841887381788,0.863546838513329,0.91645695328286,-7.24868935580266,0.5568200425,23.94359919,0.0493714787
"234","Frg1",-0.397456635441278,13.6187789420665,-4.41886831729453,0.000500121582124177,0.00356209503546642,-0.648928923876318,-0.8763020178,18.72763478,0.005549379155
"235","Fth1",0.586783731199553,19.3210272690922,4.77347794305287,0.000247772297072377,0.00206706588213885,0.0637349573271084,0.298024975,22.16100056,0.04112393212
"236","Ftl1",-0.0175455919447991,19.3320909617863,-0.147857902682195,0.884428208085424,0.930063314728082,-7.25330367674582,0.4350517701,20.36362023,0.02865826031
"237","Fubp1",-0.38120352180777,16.5772849089518,-5.65222778221512,4.6335107215617e-05,0.000562319262325449,1.77513190136165,-0.4071533827,22.2158421,0.01996014527
