"","NGenes","Direction","PValue","FDR"
"GOBP_DOPAMINE_METABOLIC_PROCESS",2,"Down",0.060451584724506,0.838801310577955
"GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS",2,"Down",0.060451584724506,0.838801310577955
"GOBP_RRNA_METABOLIC_PROCESS",9,"Down",0.0604648594457828,0.838801310577955
"GOBP_PROTEIN_POLYMERIZATION",42,"Up",0.0606677606786471,0.838801310577955
"GOBP_DNA_REPAIR",17,"Down",0.0615263946175941,0.838801310577955
"GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT",7,"Up",0.06170618552384,0.838801310577955
"GOBP_CELLULAR_LIPID_METABOLIC_PROCESS",40,"Down",0.0619116207929933,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE",10,"Down",0.0621248446976716,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY",26,"Down",0.0630004773403092,0.838801310577955
"GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS",2,"Down",0.0647710844670741,0.838801310577955
"GOBP_NERVOUS_SYSTEM_PROCESS",33,"Up",0.0651522823983727,0.838801310577955
"GOBP_REGULATION_OF_DEFENSE_RESPONSE",16,"Down",0.0654930720201928,0.838801310577955
"GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS",8,"Up",0.0661043264412591,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION",3,"Down",0.0661880700168793,0.838801310577955
"GOBP_PROTEIN_TARGETING_TO_VACUOLE",9,"Down",0.0669072153934219,0.838801310577955
"GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION",4,"Down",0.0677763651941829,0.838801310577955
"GOBP_CELL_CELL_JUNCTION_ORGANIZATION",16,"Up",0.0678415090400501,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION",5,"Down",0.0680417571656949,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_PHOSPHATASE_ACTIVITY",5,"Down",0.0680417571656949,0.838801310577955
"GOBP_SYNAPTIC_VESICLE_LOCALIZATION",12,"Up",0.068311916404235,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION",18,"Up",0.0683771959029101,0.838801310577955
"GOBP_AMP_METABOLIC_PROCESS",3,"Down",0.0685086932461801,0.838801310577955
"GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS",1,"Down",0.0689971464727239,0.838801310577955
"GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE",1,"Down",0.0689971464727239,0.838801310577955
"GOBP_RETINA_VASCULATURE_MORPHOGENESIS_IN_CAMERA_TYPE_EYE",1,"Down",0.0689971464727239,0.838801310577955
"GOBP_RETINAL_BLOOD_VESSEL_MORPHOGENESIS",1,"Down",0.0689971464727239,0.838801310577955
