"","Pool_Ox_V_Slot2-17_1_3795","Pool_Ox_V_Slot2-17_1_3808","Pool_Ox_V_Slot2-17_1_3821"
"Copz1",857923.000790071,677697.80949252,687539.846732171
"Exosc5",27904.0959616662,32500.1735791042,34902.8374784826
"Tubb3;Tubb5",209073.00077802,185779.975439285,152062.815455894
"Ctnna2",20067.1056640627,17533.3879115948,22353.5757100944
"Rufy2",183222.135121964,204503.131671642,146044.279036053
"Arhgap1",254309.539091625,253806.541391012,224032.235749589
"Elavl2;Elavl4",94767.0607912169,83113.9208555186,60927.7244404954
"Srcin1",32751.379901377,39630.6999997352,36154.7741447802
"Efl1",32337.6238832579,27458.0860229929,31616.3594430482
"Ppid",104970.608076689,117196.545956561,106556.915495112
"Psmd3",31882.5701348743,32220.2876431287,32363.6887973844
"Ttc1",179006.930338141,235039.550842846,230464.032172869
"Ica1",37119.4012570627,35908.0111628018,36682.2428702131
"Zc3h14",16305.583075792,17098.7866990154,21273.4747136495
"Wipf3",50417.1075976259,43029.4914962855,51351.1719654076
"Timm44",13228.2973057148,15936.8631660966,29173.4228868555
"Cpsf7",27819.1258820848,27644.2789568825,31772.4030817607
"Cpsf6",98005.3664051643,88293.4063175878,97404.0210282499
"Pdcl3",15511,12366.6,20851.2
"Ythdf3",49105.5478841533,53950.6511294436,56687.7661950976
"Rabgef1",28581.1995174948,23899.1056514905,27697.6104475922
"Rpl24",407651.945163449,394465.899795107,321443.197934256
"Pcbp2",133668.457635903,141927.160231381,129018.771564271
"Pcbp1",262148.353503201,232267.444136823,265668.130491037
"Trpv1",113739.242423827,111742.236909465,107499.338064012
"Dpysl3",77943.8245957357,66031.1306337109,82280.8082550948
"Dnajc6",34855.8138643975,36651.8765020763,31621.8537977879
"Fhl1",54183.0199901535,43107.5300942137,39898.4070290593
"Rpsa",289975.319513405,337941.760762016,350838.426099294
"Hnrnpul1",18973.5999998755,22515.3656763534,26560.3596734036
"Tcerg1",29055.2167762103,30008.4065919458,28912.4598324602
"Reep5",409290.822482613,504930.677938708,308249.1976507
"H1-4",3269783.35600596,3616061.33683706,3297308.2445813
