"","Gene","Tissue","Type"
"519","Set","DRG","DEP"
"520","Rufy1","DRG","DEP"
"521","Map4","DRG","DEP"
"522","Vcp","DRG","DEP"
"523","Rgs3","DRG","DEP"
"524","Vps8","DRG","DEP"
"525","Actr10","DRG","DEP"
"526","Atp2b2","DRG","DEP"
"527","Plcb3","DRG","DEP"
"528","Hk1","DRG","DEP"
"529","Hgs","DRG","DEP"
"530","Brap","DRG","DEP"
"531","Nefh","DRG","DEP"
"532","Camk2d","DRG","DEP"
"533","Arf5","DRG","DEP"
"534","Pigu","DRG","DEP"
"535","Cul5","DRG","DEP"
"536","Ckap5","DRG","DEP"
"537","Ppp1ca","DRG","DEP"
"538","Eno2","DRG","DEP"
"539","Pi4kb","DRG","DEP"
"540","Camsap1","DRG","DEP"
"541","Dpysl2","DRG","DEP"
"542","Fkbp3","DRG","DEP"
"543","Slc25a4","DRG","DEP"
"544","Tnrc6b","DRG","DEP"
"545","Ube2o","DRG","DEP"
"546","Stam","DRG","DEP"
"547","Baiap2l1","DRG","DEP"
"548","Cisd2","DRG","DEP"
"549","Ankle2","DRG","DEP"
"550","Mvb12a","DRG","DEP"
"551","Znf207","DRG","DEP"
"552","Cdc37","DRG","DEP"
"553","Paip1","DRG","DEP"
"554","Sarg","DRG","DEP"
"555","Mindy1","DRG","DEP"
"556","Ehd3","DRG","DEP"
"557","Surf4","DRG","DEP"
"558","Eea1","DRG","DEP"
"559","Eif2s2","DRG","DEP"
"560","Snrpd3","DRG","DEP"
"561","Epm2aip1","DRG","DEP"
"562","Fkbp8","DRG","DEP"
"563","Eef1g","DRG","DEP"
"564","C2cd2l","DRG","DEP"
"565","Dock5","DRG","DEP"
"566","Aven","DRG","DEP"
"567","Spag7","DRG","DEP"
"568","Eif3g","DRG","DEP"
"569","Kif5a","DRG","DEP"
"570","Iqsec1","DRG","DEP"
"571","Arhgef7","DRG","DEP"
"572","Prkar2a","DRG","DEP"
"573","Rpap3","DRG","DEP"
"574","Osbpl6","DRG","DEP"
"575","Cpeb2","DRG","DEP"
"576","Cct5","DRG","DEP"
"577","Ldb3","DRG","DEP"
"578","Uba1","DRG","DEP"
"579","Atp1a3","DRG","DEP"
"580","Etf1","DRG","DEP"
"581","Rbm17","DRG","DEP"
"582","Tpr","DRG","DEP"
"583","Arhgap35","DRG","DEP"
"584","Esyt1","DRG","DEP"
"585","Syp","DRG","DEP"
"586","Pfdn6","DRG","DEP"
"587","Arhgef18","DRG","DEP"
"588","Dzank1","DRG","DEP"
"589","Tdrd7","DRG","DEP"
"590","Ncam1","DRG","DEP"
"591","Tbc1d15","DRG","DEP"
"592","Anxa5","DRG","DEP"
"593","Tom1","DRG","DEP"
"594","Maco1","DRG","DEP"
"595","Gramd1b","DRG","DEP"
"596","Snx6","DRG","DEP"
"597","Puf60","DRG","DEP"
"598","Fxr1","DRG","DEP"
"599","Numb","DRG","DEP"
"600","Ykt6","DRG","DEP"
"601","Sncb","DRG","DEP"
"602","Ip6k1","DRG","DEP"
"603","Arhgap44","DRG","DEP"
"604","Wdr45","DRG","DEP"
"605","Ankrd17","DRG","DEP"
"606","Eif3m","DRG","DEP"
"607","Iqcb1","DRG","DEP"
"608","Pfdn2","DRG","DEP"
"609","Dennd1b","DRG","DEP"
"610","Appl1","DRG","DEP"
"611","Coro2a","DRG","DEP"
"612","Eef1a1","DRG","DEP"
"613","Aip","DRG","DEP"
"614","Gpr89","DRG","DEP"
"615","Eif3f","DRG","DEP"
"616","Acbd5","DRG","DEP"
"617","Nucks1","DRG","DEP"
"618","Ncdn","DRG","DEP"
"619","Vbp1","DRG","DEP"
"620","Sestd1","DRG","DEP"
"621","Oga","DRG","DEP"
"622","Tln2","DRG","DEP"
"623","Uchl1","DRG","DEP"
"624","Dusp3","DRG","DEP"
"625","Arl6ip5","DRG","DEP"
"626","Gripap1","DRG","DEP"
"627","Eif2a","DRG","DEP"
"628","Spata2","DRG","DEP"
"629","Sun1","DRG","DEP"
"630","Gigyf2","DRG","DEP"
"631","Gstm5","DRG","DEP"
"632","Edc4","DRG","DEP"
"633","Aimp1","DRG","DEP"
"634","Ampd3","DRG","DEP"
"635","Skp1","DRG","DEP"
"636","Hspb1","DRG","DEP"
"637","Camlg","DRG","DEP"
"638","Eif3d","DRG","DEP"
"639","Trim36","DRG","DEP"
"640","Rbsn","DRG","DEP"
"641","Cpt1a","DRG","DEP"
"642","Trpv1","DRG","DEP"
"643","Srp54","DRG","DEP"
"644","Ddx1","DRG","DEP"
"645","Mprip","DRG","DEP"
"646","Rplp2","DRG","DEP"
"647","Trappc9","DRG","DEP"
"648","Chordc1","DRG","DEP"
"649","Tmod2","DRG","DEP"
"650","Gopc","DRG","DEP"
"651","Wars1","DRG","DEP"
"652","Gdi1","DRG","DEP"
"653","Stxbp1","DRG","DEP"
"654","Pcyt2","DRG","DEP"
"655","Ola1","DRG","DEP"
"656","Stxbp6","DRG","DEP"
"657","Hnrnpdl","DRG","DEP"
"658","Golga4","DRG","DEP"
"659","Uprt","DRG","DEP"
"660","Cyb5r3","DRG","DEP"
"661","Hint1","DRG","DEP"
"662","Dlst","DRG","DEP"
"663","Trim56","DRG","DEP"
"664","Cycs","DRG","DEP"
"665","Twf1","DRG","DEP"
"666","Sugp2","DRG","DEP"
"667","Rbm25","DRG","DEP"
"668","Eif4e","DRG","DEP"
"669","Ddx19a","DRG","DEP"
"670","Cacybp","DRG","DEP"
"671","Fry","DRG","DEP"
"672","Rcsd1","DRG","DEP"
"673","Rap1gap","DRG","DEP"
"674","Ablim1","DRG","DEP"
"675","Dlat","DRG","DEP"
"676","Dync1h1","DRG","DEP"
"677","Pak1","DRG","DEP"
"678","Ppp1r12c","DRG","DEP"
"679","Rad23b","DRG","DEP"
"680","Abcd3","DRG","DEP"
"681","Rplp0","DRG","DEP"
"682","Bicd1","DRG","DEP"
"683","Sart1","DRG","DEP"
"684","Lcp1","DRG","DEP"
"685","Kars1","DRG","DEP"
"686","Hnrnpa1","DRG","DEP"
"687","Cds2","DRG","DEP"
"688","Rpl36","DRG","DEP"
"689","Strap","DRG","DEP"
"690","Mdh1","DRG","DEP"
