Gene.Symbol,Condition
Slc1a5,Others
Nek1,Others
Sqle,C4
Clgn,Others
Tst,Others
Jak1,Others
Pon1,Others
Polr1c,C3
Usp10,Others
Pkm,Others
Ndufs6,Others
Stat6,Others
Rida,C3
Efnb1,Others
Cpt2,Others
Sult1a1,Others
Rpl10a,C6
Dbt,Others
Cux1,C4
Pklr,Others
Limk1,Others
Hccs,C4
Fdft1,C4
Pitpna,Others
Pitpnb,C4
Slc16a1,Others
Rab2a,Others
Cnbp,Others
Idh2,Others
Dnajc2,Others
Stom,C2
Stmn1,Others
Rad23a,Others
Rad23b,Others
Nub1,Others
Faf1,Others
Psmc4,Others
Tango2,Others
Galc,Others
Adsl,Others
Ddx6,Others
Hmgcs2,C3
Adprh,Others
Slc12a2,Others
Abcd3,C4
Rab8a,C4
Adk,Others
Cdh5,Others
Cdh11,Others
Lrpap1,Others
Entpd1,Others
Stmn2,Others
Golga3,Others
Atp5mf,Others
Arpp19,Others
Gfer,C3
Rab4a,Others
Acyp2,Others
Acyp1,C3
Nudt2,C5
Dynlt3,Others
Cda,Others
Cox6b1,Others
Cyb5a,C4
Usp5,Others
Atp5f1b,C6
Cd38,Others
Slc1a3,Others
Wfs1,Others
Pdcd5,Others
Znrd2,C4
Fus,Others
Usp25,Others
Ncstn,Others
Pcbp3,Others
Pcbp4,C6
Atp6v1d,C3
Erp29,C2
Eef1d,C2
Actn4,Others
Snrpa1,C6
Tm9sf2,Others
Idi1,C2
Mrps21,Others
Eef2,C2
Opa1,Others
Ptpa,Others
Strn4,Others
Aaas,Others
Tpm1,Others
Tpm2,Others
Tnks1bp1,Others
Vps33b,Others
Bcl2l13,Others
Cpne2,Others
Rab2b,Others
Arhgap39,Others
Eif5,Others
Lman2l,Others
Anks1a,Others
Sf3b6,Others
Sash1,Others
Arpc4,C4
Ruvbl1,Others
Plp1,Others
Eif3e,Others
Pcbp1,C6
Ppfia3,Others
Pdxp,Others
Gabarapl2,Others
Nploc4,C3
Cdc42,C4
Cirbp,C3
Eif4a1,C6
Snap25,Others
Dnajc5,C3
Rab5b,Others
Chp1,Others
Rab10,C4
Ube2m,Others
Ube2k,Others
Ube2n,Others
Fgf1,Others
Actr2,C4
Actr1a,Others
Cops2,Others
Arl1,C4
Abce1,Others
Rap2b,C5
Rpl26,Others
Stx1b,Others
Psme3,C2
Rab6b,Others
Rpl27,Others
Naa20,Others
Vbp1,Others
Abat,Others
Copz1,Others
Ufm1,Others
Dcaf7,Others
Wdr5,C6
Ap1s1,C4
Nutf2,Others
Hnrnpk,C6
Ywhag,Others
Timm10,Others
Timm13,Others
Rps7,Others
Ppp1ca,Others
Ppp1cb,Others
Psmc1,Others
Psmc5,Others
Rps8,C2
Rps15a,C6
Ube2g1,Others
Ube2h,C4
Ywhae,Others
Rps14,C6
Rps18,C6
Rps11,C6
Rps13,C6
Snrpe,C6
Snrpd1,Others
Snrpd3,Others
Arf6,C3
Psmc6,C4
Selenot,Others
Kcnab2,Others
Abi2,Others
Dynlrb1,Others
Eef1a2,C4
Rps4x,C6
Rpl18a,C6
Ap2s1,Others
Rhob,Others
Hpcal1,C3
Rps6,C2
Vsnl1,C3
Mtpn,Others
H4c1,C6
Atp6v1b2,Others
Rab1A,Others
Ran,Others
Rpl23,Others
Rap1a,C3
Rps24,C6
Rps25,Others
Rps28,C6
Gnb1,C5
Gnb2,C5
Gnb5,Others
Rpl30,C6
Cycs,Others
Rps3,C6
Rpl32,Others
Ybx1,C6
Pfn1,C6
Rps27a,C6
Tra2b,C6
Rac1,Others
Pafah1b1,Others
Rab3a,Others
Hspa8,C6
Tpt1,Others
Dnaja1,C6
Hspd1,Others
Cplx1,Others
Sult4a1,Others
Pcp4,Others
Eif4e,Others
Mapk1,Others
Gnas,C5
Ywhaz,Others
Kcna2,C5
Kcnab1,Others
Hmgb1,C3
Dynll1,Others
Gng2,Others
Gng3,C3
Eif5a,Others
Pkia,Others
Rps17,Others
Ube2i,C4
Rala,Others
Rps12,C6
Rps10,C6
Ppp3ca,Others
Phb,C4
Csnk2b,C6
Rpl22,Others
Ube2l3,Others
Rack1,C6
Acta1,Others
Prkacb,Others
Ywhaq,C4
Tuba4a,Others
Tubb4b,Others
Prkcb,Others
Ywhah,Others
Ranbp9,Others
Sbds,Others
Kpnb1,Others
Dlg3,C5
Kifap3,Others
Lxn,Others
Itpr3,Others
Chl1,C5
Map2k6,C4
Pald1,Others
Pfkfb2,C3
Pkn1,Others
Pdlim4,Others
Selenop,Others
Vamp7,C4
Hdac2,Others
Mpp1,Others
Aup1,Others
Pebp1,Others
Stam,Others
Stim1,Others
Ctps2,Others
Hnrnph2,Others
Rock1,C4
Rock2,Others
Bcl2l2,Others
Hint1,Others
Ufd1,Others
Elavl1,C6
Usp9x,Others
Tp53bp1,Others
Mybph,Others
Idh3g,Others
Rit2,C3
Evl,Others
Slc9a3r1,C3
Stx4,Others
Vasp,Others
Sparcl1,C3
Naca,C4
Irf3,C4
Casp3,C2
Fbp2,Others
Urod,C6
Ctps1,C4
Gaa,C6
Atp8a1,Others
Cct7,Others
Cct2,C6
Cct4,Others
Cct5,Others
Cct6a,Others
Cct3,C6
Nucb2,Others
Tgfbi,Others
Renbp,Others
Sgcd,C5
Sgcb,C5
Sgca,Others
Stim2,Others
Wnk1,Others
Txnl4a,Others
Cbx1,Others
Eloc,Others
Ap2m1,C4
Rhog,Others
Rpl19,C6
Srsf3,Others
Isoc2a,Others
Serping1,Others
Serpinf1,C4
Nptn,Others
Csrp2,Others
Csrp1,Others
Nrp1,C4
Nxn,Others
Rps3a,C6
S100a13,Others
Sms,C1
Sptlc2,Others
Evi5,C4
Atp1b3,Others
Psme1,C6
Frg1,C6
G3bp2,C6
Anxa11,Others
Vps45,C4
Arhgap5,Others
Crmp1,Others
Anxa4,Others
Mprip,Others
Smyd1,Others
Fhl1,Others
Anpep,Others
Atp5pf,Others
