Genes,log2FC(S2/P1),q value
SLC25A12,-1.710820649,0.000187059
PTGR1,1.847906956,0.000187059
SNW1,-1.681760837,0.000187059
PPA1,3.508134085,0.000187059
ACIN1,-2.188361062,0.000187059
TOMM40,-3.209443453,0.000188014
GPD1,1.883023101,0.000188499
RPL30,-2.840210457,0.000190591
THOP1,2.565890076,0.000191475
DHFR,1.735420708,0.000192438
PGAM1,2.238121635,0.000193261
RHOA,2.47034748,0.000193651
RPL17,-3.805894283,0.000194017
SPAG9,1.06677474,0.000194858
SEPTIN7,-1.6625291,0.000195014
PPP1R9B,-1.530897228,0.0001961
GUK1,1.67487373,0.000199613
MYH1,-5.684383732,0.000205212
ITPA,2.610517321,0.000205212
PFDN5,2.606126239,0.000205212
VCL,1.363093251,0.000205688
SERPINF1,-3.185145016,0.00020637
EIF3H,-1.797284903,0.00020637
RPL29,-5.251363982,0.000208121
AHCTF1,2.442897607,0.000209393
GGCT,1.942544814,0.000209393
ANK3,-2.531754876,0.000215099
SELENBP1,3.168822551,0.000215099
TXNL1,1.216441902,0.000215099
TRAPPC12,-1.971405541,0.000215099
RABEP2,1.585572264,0.000215099
HSPA2,0.789860171,0.000215225
RBBP9,2.206818211,0.000216815
ENO2,3.139185521,0.000216815
CCS,1.581023725,0.000216815
RAP1GDS1,1.800883942,0.000217664
DCUN1D1,2.927747513,0.000217786
LDHB,2.613418893,0.000218554
SERPINA1B,3.46393794,0.000218554
SCRN3,2.011467541,0.000218554
PAWR,-1.055889002,0.000218614
MAOA,-1.225173169,0.000222559
RPS20,-3.234952269,0.000224395
PAFAH1B3,3.22039928,0.000225042
MRPS23,-2.564241283,0.000225188
GPD1L,1.542749854,0.000225571
SMARCC2,-2.598845219,0.000225571
NIT2,3.0347241,0.000225571
HPX,3.750890543,0.000225875
HNRNPR,-1.747889998,0.000226525
PSMC2,1.153263192,0.000226839
LRRC47,-1.896759451,0.000226839
STOML2,-0.666456202,0.000228004
HDHD2,2.638770511,0.000229352
NDUFC2,-3.373625739,0.000229352
FXR1,-2.624450732,0.00023036
PPP1R14B,2.03631372,0.00023036
PTGR2,2.505476774,0.00023036
MRPL18,-1.678495955,0.00023036
WASF2,-1.830022464,0.00023054
PALLD,-2.545899934,0.00023054
RPS8,-3.550148642,0.000232996
CAVIN3,-1.758205929,0.000232996
KRT24,-3.867557994,0.000233764
CHORDC1,1.955566765,0.000233764
EIF4EBP1,2.627424535,0.000234099
ARL1,1.680757548,0.000234434
CAPZA1,1.249906439,0.000234704
KLK5,-1.44988418,0.000236274
RPL6,-3.705755926,0.000237222
SRSF7,-2.559113513,0.000237222
OPA1,-1.570932372,0.000237831
PFAS,1.945491414,0.000237912
PSMA3,-1.699480177,0.000239123
XPNPEP1,1.7111188,0.000239302
CAP1,2.050494785,0.000239653
