"","Gene","Tissue","Type"
"323","Zfp91","DRG","DEP"
"324","Nkrf","DRG","DEP"
"325","Raver1","DRG","DEP"
"326","Anp32e","DRG","DEP"
"327","Fcho2","DRG","DEP"
"328","Psme2","DRG","DEP"
"329","Ddx21","DRG","DEP"
"330","Rack1","DRG","DEP"
"331","Sh3d19","DRG","DEP"
"332","Fnbp4","DRG","DEP"
"333","Fam135a","DRG","DEP"
"334","Kif7","DRG","DEP"
"335","Pold1","DRG","DEP"
"336","Znf687","DRG","DEP"
"337","Cwc15","DRG","DEP"
"338","Smarca4","DRG","DEP"
"339","Hspd1","DRG","DEP"
"340","Znf280c","DRG","DEP"
"341","Srsf2","DRG","DEP"
"342","Lrba","DRG","DEP"
"343","Ckap4","DRG","DEP"
"344","Rpl11","DRG","DEP"
"345","Rps13","DRG","DEP"
"346","Alg13","DRG","DEP"
"347","Xrcc5","DRG","DEP"
"348","Rps28","DRG","DEP"
"349","Rbm28","DRG","DEP"
"350","Sumo2","DRG","DEP"
"351","Pdia6","DRG","DEP"
"352","H2ac11","DRG","DEP"
"353","Smarca5","DRG","DEP"
"354","Snrnp70","DRG","DEP"
"355","Has1","DRG","DEP"
"356","Zg16","DRG","DEP"
"357","S100a11","DRG","DEP"
"358","Hal","DRG","DEP"
"359","Zmym4","DRG","DEP"
"360","Nipbl","DRG","DEP"
"361","Rps26","DRG","DEP"
"362","Trim24","DRG","DEP"
"363","Usp6nl","DRG","DEP"
"364","Cdk9","DRG","DEP"
"365","Immt","DRG","DEP"
"366","Cdc73","DRG","DEP"
"367","Hmgb1","DRG","DEP"
"368","Eftud2","DRG","DEP"
"369","Srsf3","DRG","DEP"
"370","Acaa1a","DRG","DEP"
"371","Arid2","DRG","DEP"
"372","Ep400","DRG","DEP"
"373","Ilf2","DRG","DEP"
"374","Top1","DRG","DEP"
"375","Thoc2","DRG","DEP"
"376","Lrch3","DRG","DEP"
"377","Srsf7","DRG","DEP"
"378","Krt77","DRG","DEP"
"379","Jam3","SCN","DEP"
"380","Tpm2","SCN","DEP"
"381","Prdx2","SCN","DEP"
"382","Fat2","SCN","DEP"
"383","Col1a2","SCN","DEP"
"384","Col1a1","SCN","DEP"
"385","Mbp","SCN","DEP"
"386","Col5a1","SCN","DEP"
"387","Col11a1","SCN","DEP"
"388","Dennd4b","SCN","DEP"
"389","Col3a1","SCN","DEP"
"390","Npepps","SCN","DEP"
"391","Col2a1","SCN","DEP"
"392","Sprr1b","SCN","DEP"
"393","Swap70","LSC","DEP"
"394","Sipa1l1","LSC","DEP"
"395","Bsn","LSC","DEP"
"396","Tnpo1","LSC","DEP"
"397","Sorbs2","LSC","DEP"
"398","Itih2","LSC","DEP"
"399","Srsf6","LSC","DEP"
"400","Tmpo","LSC","DEP"
"401","Lpp","LSC","DEP"
"402","Ctnnd2","LSC","DEP"
"403","Kcnj10","LSC","DEP"
"404","Syngr1","LSC","DEP"
"405","Gbp2","LSC","DEP"
"406","Mylk","LSC","DEP"
"407","Mtnd3","LSC","DEP"
"408","Rhog","LSC","DEP"
"409","Sv2a","LSC","DEP"
"410","Slc7a2","LSC","DEP"
"411","Tjp2","LSC","DEP"
"412","Limd1","LSC","DEP"
"413","Slc6a5","LSC","DEP"
"414","Syn3","LSC","DEP"
"415","Tnr","LSC","DEP"
"416","Hsd17b11","LSC","DEP"
"417","Bsg","LSC","DEP"
"418","Ppia","LSC","DEP"
"419","Sccpdh","LSC","DEP"
"420","Gpm6a","LSC","DEP"
"421","Ywhah","LSC","DEP"
"422","Septin2","LSC","DEP"
"423","Rab33b","LSC","DEP"
"424","Ndrg1","LSC","DEP"
"425","Gnaz","LSC","DEP"
"426","Mthfd1","LSC","DEP"
"427","Ncam2","LSC","DEP"
"428","Nfasc","LSC","DEP"
"429","Septin8","LSC","DEP"
"430","Tsc22d4","LSC","DEP"
"431","Sdhc","LSC","DEP"
"432","Tufm","LSC","DEP"
"433","Pkp4","LSC","DEP"
"434","Slc32a1","LSC","DEP"
"435","Gltp","LSC","DEP"
"436","Ndufa7","LSC","DEP"
"437","Sod2","LSC","DEP"
"438","Cacng2","LSC","DEP"
"439","Mog","LSC","DEP"
"440","Adh5","LSC","DEP"
"441","Acsbg1","LSC","DEP"
"442","Fis1","LSC","DEP"
"443","Mtatp8","LSC","DEP"
"444","Pdia3","LSC","DEP"
"445","Dag1","LSC","DEP"
"446","Omg","LSC","DEP"
"447","Abhd16a","LSC","DEP"
"448","Slc27a1","LSC","DEP"
"449","Atp5po","LSC","DEP"
"450","Hsd17b4","LSC","DEP"
"451","Cox6c","LSC","DEP"
"452","Svop","LSC","DEP"
"453","Ckmt1","LSC","DEP"
"454","Atp5mf","LSC","DEP"
"455","Bdh1","LSC","DEP"
"456","Mtnd5","LSC","DEP"
"457","Slc20a2","LSC","DEP"
"458","Lgi1","LSC","DEP"
"459","Ndufb10","LSC","DEP"
"460","Prrt3","LSC","DEP"
"461","Slc25a1","LSC","DEP"
"462","Rpl27","LSC","DEP"
"463","Psat1","LSC","DEP"
"464","Flna","LSC","DEP"
"465","Abcg2","LSC","DEP"
"466","Trp53i11","LSC","DEP"
"467","Pgk1","LSC","DEP"
"468","Gpr37l1","LSC","DEP"
"469","Glra1","LSC","DEP"
"470","Slc6a1","LSC","DEP"
"471","Gpm6b","LSC","DEP"
"472","Mt-Cyb","LSC","DEP"
"473","Gpd1","LSC","DEP"
"474","Lgi3","LSC","DEP"
"475","Mtnd4","LSC","DEP"
"476","Rps4x","LSC","DEP"
"477","Gatd3a","LSC","DEP"
"478","Stard9","LSC","DEP"
"479","Bcan","LSC","DEP"
"480","Sypl1","LSC","DEP"
"481","Adam23","LSC","DEP"
"482","Cd81","LSC","DEP"
"483","Mcu","LSC","DEP"
"484","Tex13c1","LSC","DEP"
"485","Gnaq","LSC","DEP"
"486","Slc6a6","LSC","DEP"
"487","Atp1b2","LSC","DEP"
"488","Tspan2","LSC","DEP"
"489","Slc30a1","LSC","DEP"
"490","Chpt1","LSC","DEP"
"491","Gnai1","LSC","DEP"
"492","Hcn2","LSC","DEP"
"493","Rab3b","LSC","DEP"
"494","C2cd4c","LSC","DEP"
"495","Fscn1","LSC","DEP"
"496","Lonp1","LSC","DEP"
"497","Ndufa3","LSC","DEP"
"498","Dock1","LSC","DEP"
"499","Eno3","LSC","DEP"
"500","Glrb","LSC","DEP"
"501","Adgrl1","LSC","DEP"
"502","Actn4","LSC","DEP"
"503","Igsf8","LSC","DEP"
"504","Mtnd1","LSC","DEP"
"505","Sfxn5","LSC","DEP"
"506","Slc25a25","LSC","DEP"
"507","Dynlt3","LSC","DEP"
"508","Slc4a1","LSC","DEP"
"509","Dab2","LSC","DEP"
"510","Atp6v0a1","LSC","DEP"
"511","Tmem160","LSC","DEP"
"512","Slc25a18","LSC","DEP"
"513","Eci1","LSC","DEP"
"514","Mlc1","LSC","DEP"
"515","Pgd","LSC","DEP"
"516","Padi2","LSC","DEP"
"517","Serinc5","LSC","DEP"
"518","Abcb7","LSC","DEP"
"519","Thy1","LSC","DEP"
"520","Gnb2","LSC","DEP"
"521","Akr1b1","LSC","DEP"
"522","Elfn1","LSC","DEP"
"523","Agpat5","LSC","DEP"
"524","Clcn2","LSC","DEP"
"525","Lclat1","LSC","DEP"
"526","Cep152","LSC","DEP"
"527","Ndufs6","LSC","DEP"
"528","Sfn","LSC","DEP"
"529","Timm22","LSC","DEP"
"530","Cit","LSC","DEP"
"531","Cldn11","LSC","DEP"
"532","Kmt2a","LSC","DEP"
"533","Mtch2","LSC","DEP"
"534","Cdc42ep1","LSC","DEP"
"535","Agk","LSC","DEP"
"536","Mobp","LSC","DEP"
"537","Aldh1a1","LSC","DEP"
"538","Itpa","LSC","DEP"
"539","S1pr5","LSC","DEP"
"540","Gnai3","LSC","DEP"
"541","Zmpste24","LSC","DEP"
"542","Cox7c","LSC","DEP"
"543","Pde1b","LSC","DEP"
"544","Pdxp","LSC","DEP"
"545","Gabra3","LSC","DEP"
"546","Abcb8","LSC","DEP"
"547","Slc6a9","LSC","DEP"
"548","Uqcrb","LSC","DEP"
"549","Slc30a3","LSC","DEP"
"550","Acsf2","LSC","DEP"
"551","Erp29","LSC","DEP"
"552","Maob","LSC","DEP"
"553","Pgp","LSC","DEP"
"554","Tbc1d24","LSC","DEP"
"555","Ttyh1","LSC","DEP"
"556","Lta4h","LSC","DEP"
"557","Mthfd1l","LSC","DEP"
"558","S1pr1","LSC","DEP"
"559","Ndufs5","LSC","DEP"
"560","Ppib","LSC","DEP"
"561","Lrp1","LSC","DEP"
"562","Wrn","LSC","DEP"
"563","Tmem94","LSC","DEP"
"564","Gad1","LSC","DEP"
"565","Jup","LSC","DEP"
"566","Dynll2","LSC","DEP"
"567","Krt79","LSC","DEP"
"568","Acot11","LSC","DEP"
"569","Ezr","LSC","DEP"
"570","Fahd2","LSC","DEP"
"571","Fn1","paw","DEP"
"572","Cgnl1","paw","DEP"
"573","Znf185","paw","DEP"
"574","Tgm2","paw","DEP"
"575","Scel","paw","DEP"
"576","Ecm1","paw","DEP"
"577","Tns2","paw","DEP"
"578","Calml3","paw","DEP"
"579","Anp32a","paw","DEP"
"580","Pccb","paw","DEP"
"581","Mks1","paw","DEP"
"582","Flg","paw","DEP"
"583","Pcdh12","paw","DEP"
"584","Jund","paw","DEP"
"585","Fga","paw","DEP"
"586","H1-2","paw","DEP"
"587","Postn","paw","DEP"
"588","Atp2a1","paw","DEP"
"589","Cysrt1","paw","DEP"
"590","Pa2g4","paw","DEP"
"591","Krt25","paw","DEP"
"592","Col4a1","paw","DEP"
"593","Aagab","DRG","75% Filter"
"594","Abca3","DRG","75% Filter"
"595","Abca6","DRG","75% Filter"
"596","Abhd13","DRG","75% Filter"
"597","Abhd2","DRG","75% Filter"
"598","Acbd3","DRG","75% Filter"
"599","Actl6a","DRG","75% Filter"
"600","Actr1a","DRG","75% Filter"
"601","Adar","DRG","75% Filter"
"602","Adgrl2","DRG","75% Filter"
"603","Aff4","DRG","75% Filter"
"604","Ago3","DRG","75% Filter"
"605","Ahdc1","DRG","75% Filter"
"606","Ahsg","DRG","75% Filter"
"607","Aimp2","DRG","75% Filter"
"608","Ak5","DRG","75% Filter"
"609","Akap5","DRG","75% Filter"
"610","Akap8","DRG","75% Filter"
"611","Akap8l","DRG","75% Filter"
"612","Akr1e2","DRG","75% Filter"
"613","Akt1s1","DRG","75% Filter"
"614","Akt2","DRG","75% Filter"
"615","Aldh1b1","DRG","75% Filter"
"616","Alyref","DRG","75% Filter"
"617","Amacr","DRG","75% Filter"
"618","Amfr","DRG","75% Filter"
"619","Amigo3","DRG","75% Filter"
"620","Amotl1","DRG","75% Filter"
"621","Anapc4","DRG","75% Filter"
"622","Ankrd10","DRG","75% Filter"
"623","Ankrd55","DRG","75% Filter"
"624","Ankrd9","DRG","75% Filter"
"625","Anks3","DRG","75% Filter"
"626","Ankzf1","DRG","75% Filter"
"627","Ano6","DRG","75% Filter"
"628","Anp32b","DRG","75% Filter"
"629","Ap3m1","DRG","75% Filter"
"630","Ap4m1","DRG","75% Filter"
"631","Ap5b1","DRG","75% Filter"
"632","Ap5z1","DRG","75% Filter"
"633","Apba2","DRG","75% Filter"
"634","Apeh","DRG","75% Filter"
"635","Apip","DRG","75% Filter"
"636","Aplf","DRG","75% Filter"
"637","App","DRG","75% Filter"
"638","Ar","DRG","75% Filter"
"639","Arhgap22","DRG","75% Filter"
"640","Arhgef28","DRG","75% Filter"
"641","Arhgef3","DRG","75% Filter"
"642","Arid1a","DRG","75% Filter"
"643","Arl2bp","DRG","75% Filter"
"644","Arl4c","DRG","75% Filter"
"645","Arl6ip4","DRG","75% Filter"
"646","Armc8","DRG","75% Filter"
"647","Armcx5","DRG","75% Filter"
"648","Arpc4","DRG","75% Filter"
"649","Arpp21","DRG","75% Filter"
"650","Ascc1","DRG","75% Filter"
"651","Ascc3","DRG","75% Filter"
"652","Asic1","DRG","75% Filter"
"653","Asph","DRG","75% Filter"
"654","Atf2","DRG","75% Filter"
"655","Atf7","DRG","75% Filter"
"656","Atf7ip","DRG","75% Filter"
"657","Atg4a","DRG","75% Filter"
"658","Atn1","DRG","75% Filter"
"659","Atp13a2","DRG","75% Filter"
"660","Atp2c1","DRG","75% Filter"
"661","Atp5f1c","DRG","75% Filter"
"662","Atp5pd","DRG","75% Filter"
"663","Atrip","DRG","75% Filter"
"664","Atxn1","DRG","75% Filter"
"665","Atxn7l3b","DRG","75% Filter"
"666","Aup1","DRG","75% Filter"
"667","Auts2","DRG","75% Filter"
"668","Babam1","DRG","75% Filter"
"669","Bad","DRG","75% Filter"
"670","Banf1","DRG","75% Filter"
"671","Bap18","DRG","75% Filter"
"672","Bax","DRG","75% Filter"
"673","Baz2b","DRG","75% Filter"
"674","Bbs9","DRG","75% Filter"
"675","Bcap29","DRG","75% Filter"
"676","Bcas2","DRG","75% Filter"
"677","Bcat2","DRG","75% Filter"
"678","Bcl7b","DRG","75% Filter"
"679","Begain","DRG","75% Filter"
"680","Bend6","DRG","75% Filter"
"681","Bet1","DRG","75% Filter"
"682","Bet1l","DRG","75% Filter"
"683","Bfar","DRG","75% Filter"
"684","Bicd2","DRG","75% Filter"
"685","Bicral","DRG","75% Filter"
"686","Blm","DRG","75% Filter"
